sn	name	skillName
211803	Scarlet Scepter	Blood Omen
211804	Babel's Verdict	Runes of Rebirth
211901	Leather Whip	Pliability
211902	Spike Whip	Burning Passion
211903	Masquerade Ribbon	Dance of Flames
211904	Rosethorn	Pyre of Love
212001	Brass Knuckles	Iron Fist
212002	Flash Punch	Justice
212003	Omega Knuckle	Fortitude
212004	Nuclear Finisher	Will of Extinction
212101	Cavalry Saber	Know Thyself
212102	Royal Saber	Absolute Zero
212103	Edelweiss	Glacial Gift
212104	Queen of Winter	Eternal Wintertide
212111	tdxct-[Weapon_name_212111]	tdxct-[Weapon_skillName_212111]
212112	tdxct-[Weapon_name_212112]	tdxct-[Weapon_skillName_212112]
212113	tdxct-[Weapon_name_212113]	tdxct-[Weapon_skillName_212113]
212114	tdxct-[Weapon_name_212114]	tdxct-[Weapon_skillName_212114]
212301	Medkit	Wellness Manager
212302	Portable Trauma Unit	Intravenous Assist
212303	Hymn of Life	Total Coverage
212304	Angel Heart	Hippocratic Oath
212501	Axe	tdxct-[Weapon_skillName_212501]
212502	Bardiche	tdxct-[Weapon_skillName_212502]
212503	Gilgamesh Axe	tdxct-[Weapon_skillName_212503]
212504	Battle Hymn	tdxct-[Weapon_skillName_212504]
212601	Rebel Knife	Razor Sharp
212602	Athame	Binding Hex
212603	Machete	Salt in the Wound
212604	Phoenix Dagger	Unending Rebellion
212701	Jet Sonar	Sonic Waves
212702	C.A Explorer	Comprehensive Scan
212703	Submarine Sonar	Echo Barrier
212704	Ephemerality	Call of the Deep
212801	Climbing Pickaxe	Sharp and Pointy
212802	Shrill Pickaxe	Kaboom!
212803	Chirpy Pickaxe	Soft Fluffy Chicks
212804	Sweet Pickaxe	Twinkling Treats
212901	tdxct-[Weapon_name_212901]	tdxct-[Weapon_skillName_212901]
212902	tdxct-[Weapon_name_212902]	tdxct-[Weapon_skillName_212902]
212903	tdxct-[Weapon_name_212903]	tdxct-[Weapon_skillName_212903]
212904	tdxct-[Weapon_name_212904]	tdxct-[Weapon_skillName_212904]
213001	Triangular Bayonet	Snapped in Twain
213002	Cobalt Alloy Bayonet	Quenched Edges
213003	Gravitational Force	Atomic Decay
213004	Jolting Pulse	Devastating Impact
213101	Dancing Cane	A Small Pick-Me-Up
213102	Peafowl Cane	Slightly Tipsy
213103	Starrynight Soothsayer	Seductive Kiss
213104	Moonlit Feather	Moonlit Banquet
213201	Guitar Axe	Tone
213202	Amped-Up Guitar Axe	Euphoria
213203	Rock 'n' Roller	Tempest of Rhythm
213204	Superstar	Groovy Session
213301	tdxct-[Weapon_name_213301]	tdxct-[Weapon_skillName_213301]
213302	tdxct-[Weapon_name_213302]	tdxct-[Weapon_skillName_213302]
213303	tdxct-[Weapon_name_213303]	tdxct-[Weapon_skillName_213303]
213304	tdxct-[Weapon_name_213304]	tdxct-[Weapon_skillName_213304]
213401	tdxct-[Weapon_name_213401]	tdxct-[Weapon_skillName_213401]
213402	tdxct-[Weapon_name_213402]	tdxct-[Weapon_skillName_213402]
213403	tdxct-[Weapon_name_213403]	tdxct-[Weapon_skillName_213403]
213404	tdxct-[Weapon_name_213404]	tdxct-[Weapon_skillName_213404]
213501	tdxct-[Weapon_name_213501]	tdxct-[Weapon_skillName_213501]
213502	tdxct-[Weapon_name_213502]	tdxct-[Weapon_skillName_213502]
213503	tdxct-[Weapon_name_213503]	tdxct-[Weapon_skillName_213503]
213504	tdxct-[Weapon_name_213504]	tdxct-[Weapon_skillName_213504]
213601	tdxct-[Weapon_name_213601]	tdxct-[Weapon_skillName_213601]
213602	tdxct-[Weapon_name_213602]	tdxct-[Weapon_skillName_213602]
213603	tdxct-[Weapon_name_213603]	tdxct-[Weapon_skillName_213603]
213604	tdxct-[Weapon_name_213604]	tdxct-[Weapon_skillName_213604]
