sn	funcName	clientName	clientDesc
10805	Work at the fried food store	Work at the fried food store	The fried food store in Kichijoji looks really busy today...
10806	Work at the fried food store	Work at the fried food store	Seems like there's some open shifts at the fried food store in Kichijoji today...
20101	Study at home	Study at home	Maybe I should stay home and study...
20102	Study at home	Study at home	It's raining today. I'll be able to concentrate on studying at home...
20201	Have a soak	Have a soak	I could go to the bathhouse and get refreshed...
20202	Have a soak	Have a soak	I could go take it easy at the bathhouse...
20203	Have a soak	Have a soak	Looks like there's a special hot bath at the bathhouse today. I could go try it out...
20204	Have a soak	Have a soak	Something seems different at the bathhouse in Yongen-Jaya today. Maybe I should check it out...
20301	Watch a movie	See a movie in Shibuya	There's a popular movie playing at the theater in Shibuya. I should go check it out...
20302	Watch a movie	See a movie in Yongen-Jaya	The theater in Yongen-Jaya is screening an old classic now. I should go check it out...
20303	Watch a movie	See a movie in Shinjuku	The movie theater in Shinjuku has both entertaining blockbusters and arthouse pictures. I should see what's playing today...
20401	Go to the gym	Go to the gym	I can train at the gym in Shibuya...
20402	Go to the gym	Go to the gym	I should get in shape at the gym...
20403	Go to the gym	Go to the gym	The gym is running a free protein event today. Might be worth checking out...
20404	Go to the gym	Go to the gym	I could get in shape at the gym in Shibuya...
20405	Go to the gym	Go to the gym	The gym in Shibuya is giving out free protein...
20406	Go to the gym	Go to the gym	I'd better keep up with my training at the gym...
20407	Go to the gym	Go to the gym	It's a free protein day at the gym. Maybe I should head to Shibuya...
20501	Play a game	Play games at home	I have a new video game to play...
20502	Play a game	Play games at home	I could stay home and play some games...
20503	Play a game	Play games at home	I'm feeling good today.
Maybe I'll just stay home and play games...
20504	Play a game	Play games at home	I feel like staying in and playing games...
20505	Play a game	Play games at home	I could totally lose myself in a good game right now...
20601	Clean	Clean the house	It's been a while since I cleaned...
20602	Clean	Clean the house	I should clean my room...
20603	Clean	Clean the house	I'd better do some thorough cleaning...
20604	Clean	Clean the house	I want to do some cleaning	 but there's an unusual visitor in the garden...
20701	Eating Challenge	Take on the eating challenge	There's a competitive eating contest
at Victory Kitchen. I should check it out...
20702	Eating Challenge	Take on the eating challenge	There's a competitive eating contest
at Victory Kitchen. I should check it out...
20703	Eating Challenge	Take on the eating challenge	There's a competitive eating contest
at Victory Kitchen. I should check it out...
20704	Eating Challenge	Take on the eating challenge	There's a competitive eating contest
at Victory Kitchen. I should check it out...
20705	Eating Challenge	Take on the eating challenge	There's a competitive eating contest
at Victory Kitchen. I should check it out...
20706	Eating Challenge	Take on the eating challenge	There's a competitive eating contest
at Victory Kitchen. I should check it out...
20707	Eating Challenge	Take on the eating challenge	There's a competitive eating contest
at Victory Kitchen. I should check it out...
20708	Eating Challenge	Take on the eating challenge	There's a competitive eating contest
at Victory Kitchen. I should check it out...
20801	Go to the arcade	Go to the arcade	Maybe I'll go play at the arcade in Shibuya...
20802	Go to the arcade	Go to the arcade	I'm feeling good today. I might go play at the arcade in Shibuya...
20901	Study at the diner	Study at the diner	I could study at the diner...
20902	Study at the diner	Study at the diner	The diner isn't too crowded today. I could focus on studying...
21001	Study at the library	Study at the library	I could study at the library...
21002	Study at the library	Study at the library	It's a rainy day	 and the library is quiet and perfect for studying...
21101	Go to karaoke	Go to karaoke	Maybe I could go to Kichijoji for some karaoke...
21102	Go to karaoke	Go to karaoke	I could sing some solo karaoke in Kichijoji...
21103	Go to karaoke	Go to karaoke	There's some new songs I could try out at karaoke in Kichijoji...
21104	Go to karaoke	Go to karaoke	My vocal cords feel strong today. It might be a good time to go to Kichijoji to sing karaoke...
21105	Go to karaoke	Go to karaoke	I'm feeling confident about my singing. I could go to Kichijoji and try for a high score at karaoke...
21106	Go to karaoke	Go to karaoke	Maybe I could go to Kichijoji for some karaoke...
21107	Go to karaoke	Go to karaoke	Maybe I could go to Kichijoji for some karaoke...
21108	Go to karaoke	Go to karaoke	Maybe I could go to Kichijoji for some karaoke...
21109	Go to karaoke	Go to karaoke	Maybe I could go to Kichijoji for some karaoke...
21110	Go to karaoke	Go to karaoke	Maybe I could go to Kichijoji for some karaoke...
21201	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21202	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21203	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21204	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21205	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21206	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21207	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21208	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21209	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21210	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21211	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21212	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21213	Meditate at the temple	Meditate at the temple	Meditating at the temple could help clear my mind...
21301	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21302	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21303	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21304	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21305	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21306	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21307	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21308	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21309	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21310	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21311	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21312	Go to the jazz club	Go to the jazz club	I should go try the new specialty drinks at the Jazz Club in Kichijoji...
21401	Go to the café	Go to the café	The café in Kichijoji is holding an event to sample some new coffee. Maybe I should go...
21402	Go to the café	Go to the café	Seems like the café in Kichijoji just introduced a new menu item...
21403	Go to the café	Go to the café	I might go try out a new coffee blend at the café in Kichijoji...
29901	Study at the diner	Study at the diner	I could study at the diner...
30101	Hello	Spend time with Merope 	Should I spend time with Merope...?
30102	Hello	Spend time with Merope 	Should I spend time with Merope...?
30111	Hello	Spend time with Merope 	Should I spend time with Merope...?
30121	Hang out with Merope	Spend time with Merope 	Should I spend time with Merope...?
30199	Hang out with Merope	Spend time with Merope 	Should I spend time with Merope...?
30201	Hang out with Motoha	Spend time with Motoha 　	Should I spend time with Motoha...?
30202	Hang out with Motoha	Spend time with Motoha 　	Should I spend time with Motoha...?
30211	Hang out with Motoha	Spend time with Motoha 　	Should I spend time with Motoha...?
30221	Hang out with Motoha	Spend time with Motoha 　	Should I spend time with Motoha...?
30299	Hang out with Motoha	Spend time with Motoha 　	Should I spend time with Motoha...?
30301	Play Harvest World Online	Spend time with Yui 	I got a message from Yui. Should I log in to the game and see her...?
30302	Invite to Virtual Room	Spend time with Yui 	I got a message from Yui. Should I log in to the game and see her...?
30303	Hang out with Yui	Spend time with Yui 	I got a message from Yui. Should I log in to the game and see her...?
30311	Play Harvest World Online	Spend time with Yui 	I got a message from Yui. Should I log in to the game and see her...?
30321	Hang out with Yui	Spend time with Yui 	I got a message from Yui. Should I log in to the game and see her...?
30399	Hang out with Yui	Spend time with Yui 	I got a message from Yui. Should I log in to the game and see her...?
30401	Hang out with Kiyoshi	Spend time with Kiyoshi 　	Should I spend time with Kiyoshi...?
30402	Hang out with Kiyoshi	Spend time with Kiyoshi 　	Should I spend time with Kiyoshi...?
30411	Hang out with Kiyoshi	Spend time with Kiyoshi 　	Should I spend time with Kiyoshi...?
30421	Hang out with Kiyoshi	Spend time with Kiyoshi 　	Should I spend time with Kiyoshi...?
30499	Hang out with Kiyoshi	Spend time with Kiyoshi 　	Should I spend time with Kiyoshi...?
30501	Hang out with Tomoko	Spend time with Tomoko 	Should I spend time with Tomoko...?
30502	Hang out with Tomoko	Spend time with Tomoko 	Should I spend time with Tomoko...?
30511	Hang out with Tomoko	Spend time with Tomoko 	Should I spend time with Tomoko...?
30521	Hang out with Tomoko	Spend time with Tomoko 	Should I spend time with Tomoko...?
30599	Hang out with Tomoko	Spend time with Tomoko 	Should I spend time with Tomoko...?
30601	Hang out with Tomiyama	Spend time with Tomiyama 	Should I spend time with Kayo...?
30602	Hang out with Tomiyama	Spend time with Tomiyama 	Should I spend time with Kayo...?
30611	Hang out with Tomiyama	Spend time with Tomiyama 	Should I spend time with Kayo...?
30621	Hang out with Tomiyama	Spend time with Tomiyama 	Should I spend time with Kayo...?
30699	Hang out with Tomiyama	Spend time with Tomiyama 	Should I spend time with Kayo...?
30701	Hang out with Shun	Spend time with Shun 	Should I spend time with Shun...?
30702	Hang out with Shun	Spend time with Shun 	Should I spend time with Shun...?
30711	Hang out with Shun	Spend time with Shun 	Should I spend time with Shun...?
30721	Hang out with Shun	Spend time with Shun 	Should I spend time with Shun...?
30799	Hang out with Shun	Spend time with Shun 	Should I spend time with Shun...?
30801	Hang out with Yaoling	Spend time with Yaoling 	Should I spend time with Yaoling...?
30802	Hang out with Yaoling	Spend time with Yaoling 	Should I spend time with Yaoling...?
30811	Hang out with Yaoling	Spend time with Yaoling 	Should I spend time with Yaoling...?
30821	Hang out with Yaoling	Spend time with Yaoling 	Should I spend time with Yaoling...?
30899	Hang out with Yaoling	Spend time with Yaoling 	Should I spend time with Yaoling...?
30901	Hang out with Sumi	Spend time with Sumi 	Should I spend time with Toshiya...?
30902	Hang out with Sumi	Spend time with Sumi 	Should I spend time with Toshiya...?
30911	Hang out with Sumi	Spend time with Sumi 	Should I spend time with Toshiya...?
30921	Hang out with Sumi	Spend time with Sumi 	Should I spend time with Toshiya...?
30999	Hang out with Sumi	Spend time with Sumi 	Should I spend time with Toshiya...?
31001	Hang out with Riko	Spend time with Riko 	Should I spend time with Riko...?
31002	Special Invitation from Riko	Share some special time with Riko	Should I spend some special time with Riko...?
31011	Hang out with Riko	Spend time with Riko 	Should I spend time with Riko...?
31021	Hang out with Riko	Spend time with Riko 	Should I spend time with Riko...?
31099	Hang out with Riko	Spend time with Riko 	Should I spend time with Riko...?
31201	Hang out with Ayaka	Spend time with Ayaka 	Should I spend time with Ayaka...?
31202	Hang out with Ayaka	Spend time with Ayaka 	Should I spend time with Ayaka...?
31211	Hang out with Ayaka	Spend time with Ayaka 	Should I spend time with Ayaka...?
31221	Hang out with Ayaka	Spend time with Ayaka 	Should I spend time with Ayaka...?
31299	Hang out with Ayaka	Spend time with Ayaka 	Should I spend time with Ayaka...?
31301	Hang out with Yumi	Spend time with Yumi 	Should I spend time with Yumi...?
31302	Hang out with Yumi	Spend time with Yumi 	Should I spend time with Yumi...?
31311	Hang out with Yumi	Spend time with Yumi 	Should I spend time with Yumi...?
31312	Hang out with Yumi	Spend time with Yumi 	Should I spend time with Yumi...?
31321	Hang out with Yumi	Spend time with Yumi 	Should I spend time with Yumi...?
31399	Hang out with Yumi	Spend time with Yumi 	Should I spend time with Yumi...?
31401	Hang out with Miyu	Spend time with Miyu 	Should I spend time with Miyu...?
31402	Hang out with Miyu	Spend time with Miyu 	Should I spend time with Miyu...?
31403	Hang out with Miyu	Spend time with Miyu 	Should I spend time with Miyu...?
31411	Hang out with Miyu	Spend time with Miyu 	Should I spend time with Miyu...?
31412	Hang out with Miyu	Spend time with Miyu 	Should I spend time with Miyu...?
31421	Hang out with Miyu	Spend time with Miyu 	Should I spend time with Miyu...?
31422	Hang out with Miyu	Spend time with Miyu 	Should I spend time with Miyu...?
31499	Hang out with Miyu	Spend time with Miyu 	Should I spend time with Miyu...?
31501	Hang out with Kitazato	Spend time with Kitazato 	Should I spend time with Kira...?
31502	Hang out with Kitazato	Spend time with Kitazato 	Should I spend time with Kira...?
31511	Hang out with Kitazato	Spend time with Kitazato 	Should I spend time with Kira...?
31521	Hang out with Kitazato	Spend time with Kitazato 	Should I spend time with Kira...?
31599	Hang out with Kitazato	Spend time with Kitazato 	Should I spend time with Kira...?
31601	Hang out with Masaki	Spend time with Masaki 	Should I spend time with Masaki...?
31602	Hang out with Masaki	Spend time with Masaki 	Should I spend time with Masaki...?
31611	Hang out with Masaki	Spend time with Masaki 	Should I spend time with Masaki...?
31621	Hang out with Masaki	Spend time with Masaki 	Should I spend time with Masaki...?
31699	Hang out with Masaki	Spend time with Masaki 	Should I spend time with Masaki...?
31701	Hang out with Kotone	Spend time with Kotone 	Should I spend time with Kotone...?
31702	Special Invitation from Kotone	Share some special time with Kotone	Should I spend some special time with Kotone...?
31711	Hang out with Kotone	Spend time with Kotone 	Should I spend time with Kotone...?
31721	Hang out with Kotone	Spend time with Kotone 	Should I spend time with Kotone...?
31799	Hang out with Kotone	Spend time with Kotone 	Should I spend time with Kotone...?
31801	Hang out with Runa	Spend time with Runa 	Should I spend time with Runa...?
31802	Special Invitation from Runa	Spend time with Runa 	Should I spend some special time with Runa...?
31811	Hang out with Runa	Spend time with Runa 	Should I spend time with Runa...?
31821	Hang out with Runa	Spend time with Runa 	Should I spend time with Runa...?
31899	Hang out with Runa	Spend time with Runa 	Should I spend time with Runa...?
40001	Attend class	Go to math class	I've got to go to math class...
40002	Attend class	Go to math class	I've got to go to math class...
40003	Attend class	Go to math class	I've got to go to math class...
40004	Attend class	Go to math class	I've got to go to math class...
40006	Attend class	Go to math class	I've got to go to math class...
40007	Attend class	Go to math class	I've got to go to math class...
40052	Attend class	Go to math class	I've got to go to math class...
40053	Attend class	Go to math class	I've got to go to math class...
40054	Attend class	Go to math class	I've got to go to math class...
40055	Attend class	Go to math class	I've got to go to math class...
40056	Attend class	Go to math class	I've got to go to math class...
40098	Attend class	Go to math class	I've got to go to math class...
40099	Attend class	Go to math class	I've got to go to math class...
40101	Attend class	Go to classic lit class	I've got to go to classic lit class...
40102	Attend class	Go to classic lit class	I've got to go to classic lit class...
40103	Attend class	Go to classic lit class	I've got to go to classic lit class...
40104	Attend class	Go to classic lit class	I've got to go to classic lit class...
40105	Attend class	Go to classic lit class	I've got to go to classic lit class...
40106	Attend class	Go to classic lit class	I've got to go to classic lit class...
40107	Attend class	Go to classic lit class	I've got to go to classic lit class...
40108	Attend class	Go to classic lit class	I've got to go to classic lit class...
40199	Attend class	Go to classic lit class	I've got to go to classic lit class...
40201	Attend class	Go to biology class	I've got to go to biology class...
40202	Attend class	Go to biology class	I've got to go to biology class...
40203	Attend class	Go to biology class	I've got to go to biology class...
40204	Attend class	Go to biology class	I've got to go to biology class...
40205	Attend class	Go to biology class	I've got to go to biology class...
40206	Attend class	Go to biology class	I've got to go to biology class...
40207	Attend class	Go to biology class	I've got to go to biology class...
40208	Attend class	Go to biology class	I've got to go to biology class...
40299	Attend class	Go to biology class	I've got to go to biology class...
40301	Attend class	Go to social studies class	I've got to go to social studies class...
40302	Attend class	Go to social studies class	I've got to go to social studies class...
40303	Attend class	Go to social studies class	I've got to go to social studies class...
40304	Attend class	Go to social studies class	I've got to go to social studies class...
40305	Attend class	Go to social studies class	I've got to go to social studies class...
40306	Attend class	Go to social studies class	I've got to go to social studies class...
40307	Attend class	Go to social studies class	I've got to go to social studies class...
40308	Attend class	Go to social studies class	I've got to go to social studies class...
40399	Attend class	Go to social studies class	I've got to go to social studies class...
40401	Attend class	Go to history class	I've got to go to history class...
40403	Attend class	Go to history class	I've got to go to history class...
40405	Attend class	Go to history class	I've got to go to history class...
40406	Attend class	Go to history class	I've got to go to history class...
40407	Attend class	Go to history class	I've got to go to history class...
40408	Attend class	Go to history class	I've got to go to history class...
40409	Attend class	Go to history class	I've got to go to history class...
40410	Attend class	Go to history class	I've got to go to history class...
40499	Attend class	Go to history class	I've got to go to history class...
40501	Attend class	Go to English class	I've got to go to English class...
40502	Attend class	Go to English class	I've got to go to English class...
40503	Attend class	Go to English class	I've got to go to English class...
40504	Attend class	Go to English class	I've got to go to English class...
40505	Attend class	Go to English class	I've got to go to English class...
40506	Attend class	Go to English class	I've got to go to English class...
40507	Attend class	Go to English class	I've got to go to English class...
40508	Attend class	Go to English class	I've got to go to English class...
40599	Attend class	Go to English class	I've got to go to English class...
50101	Read at home	Read at home	I could read on the sofa at home...
50201	Read at the library	Read at the library	I could read in the library...
50301	Read on the train	Read on the train	I can read until I get to my station...
50401	Read on the train	Read on the train	I can read until I get to my station...
50402	Read on the train	Read on the train	I can read until I get to my station...
50403	Read on the train	Read on the train	I can read until I get to my station...
50404	Read on the train	Read on the train	I can read until I get to my station...
60101	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60102	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60103	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60104	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60105	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60106	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60107	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60108	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60109	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60110	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60111	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60112	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60113	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60114	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60115	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60116	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60117	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60118	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60119	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60120	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60121	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60122	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60123	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60124	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60125	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60126	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60127	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60128	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60129	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60130	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60131	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60132	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60133	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60134	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60135	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60136	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60137	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60138	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60139	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60140	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60141	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60142	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60143	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60144	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60145	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60146	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60151	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60152	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60153	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60154	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60155	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60156	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60157	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60158	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60159	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60160	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60161	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60162	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60163	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60164	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60165	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60166	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60167	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60168	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60169	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60170	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60171	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60172	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60173	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60174	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60175	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60176	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60177	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
60178	Go to Leblanc	Spend time at Leblanc	I could go to Leblanc...
