sn	name	typeName	tips	contentBG
24	Repression Medal III	Currency	Obtainable from Persona dungeons on levels VI and VII in the Realm of Repression. Can be exchanged for rewards in the Repression Medal shops.	<color=#ffffff>  </color>
25	NB[it][025]	Currency	Obtained from the Realm of Repression. Can be exchanged for rewards in the Repression Medal shops.	<color=#ffffff>  </color>
26	Repression Medal IV	Currency	Obtainable by playing events such as Trials from the Sea of Souls. Can be exchanged for rewards from the Repression Medal shops.	<color=#ffffff>  </color>
27	NB[it][027]	Currency	Currency used to exchange for Palace items.	AAAAAA==
28	NB[it][028]	Currency	Currency used to exchange for Palace items.	AAAAAA==
29	Fishing Points	Currency	Obtainable by fishing at the Fishing Pond. Can be exchanged for rewards at the Catch 'n' Trade.	<color=#ffffff>  </color>
30	Qimranut Ticket	Currency	Can be collected to raise your route unlock rank and unlock the Path of Qimranut.	<color=#ffffff>  </color>
31	Rebel Coin	Event Currency	Obtainable by clearing the events Crossroads of Fate or Café Leblanc. Can be exchanged for rewards at the Thieves' Exchange.	<color=#ffffff>  </color>
32	Aiyatsbus Ticket	Currency	Can be collected to raise your route unlock rank and unlock the Path of Aiyatsbus.	<color=#ffffff>  </color>
33	Chemdah Ticket	Currency	Can be collected to raise your route unlock rank and unlock the Path of Chemdah.	<color=#ffffff>  </color>
34	Kaitul Ticket	Currency	Can be collected to raise your route unlock rank and unlock the Path of Kaitul.	<color=#ffffff>  </color>
35	Akzeriyyuth Ticket	Currency	Can be collected to raise your route unlock rank and unlock the Path of Akzeriyyuth.	<color=#ffffff>  </color>
36	Adyeshach Ticket	Currency	Can be collected to raise your route unlock rank and unlock the Path of Adyeshach.	<color=#ffffff>  </color>
37	Sheriruth Ticket	Currency	Can be collected to raise your route unlock rank and unlock the Path of Sheriruth.	<color=#ffffff>  </color>
38	Iweleth Ticket	Currency	Can be collected to raise your route unlock rank and unlock the Path Of Iweleth.	<color=#ffffff>  </color>
39	Assist Rewards	Currency	Can be obtained using Phantom Idols or clearing challenges with Friend Assists.	<color=#ffffff>  </color>
40	Stadium Memory Shard	Apocryphal Seal	Unlocks chapters of Phantom Thief Memories.	<color=#ffffff>  </color>
41	Castle Memory Shard	Apocryphal Seal	Unlocks chapters of Phantom Thief Memories.	<color=#ffffff>  </color>
42	Dam Memory Shard	Apocryphal Seal	Unlocks chapters of Phantom Thief Memories.	<color=#ffffff>  </color>
43	[NB][IT][043]	Apocryphal Seal	Unlocks chapters of Phantom Thief Memories.	<color=#ffffff>  </color>
44	[NB][IT][044]	Apocryphal Seal	Unlocks chapters of Phantom Thief Memories.	<color=#ffffff>  </color>
45	[NB][IT][045]	Apocryphal Seal	Unlocks chapters of Phantom Thief Memories.	<color=#ffffff>  </color>
46	Star Crystal	Currency	Obtainable after a victory in the Trials from the Sea of Souls. Can be exchanged for rewards with Merope.	<color=#ffffff>  </color>
47	Destiny Badge	Event Currency	Obtainable after clearing the events Crossroads of Fate: Museum and Bank Arcs. Can be exchanged for rewards in the Gallery Auction.	<color=#ffffff>  </color>
48	Peculiar Coin	Currency	Obtainable after clearing Nightmare's Gateway challenge. Can be exchanged for Wonder-only 5★ weapons in the Airsoft Shop.	<color=#ffffff>  </color>
49	Joy Medal	Currency	Obtainable from the Trial of Thorns. Can be exchanged for Wonder-only 5★ weapons.	<color=#ffffff>  </color>
50	Companio Coin	Currency	Can be exchanged for various items in the Nightmare's Gateway exchange shop. Obtainable by playing Nightmare's Gateway.	<color=#ffffff>  </color>
51	Music Club Badge	Currency	Can be exchanged for rewards in the Shop.	<color=#ffffff>  </color>
52	EXP Pass	Currency	Experience gained from playing in the band club. Can be used to raise your Band Club Level.	<color=#ffffff>  </color>
53	Soccer Club Badge	Currency	Can be exchanged for rewards in the Shop.	<color=#ffffff>  </color>
54	EXP Pass	Currency	Experience gained from playing with the soccer team. Can be used to raise your Soccer Team Level.	<color=#ffffff>  </color>
55	TV Show Point	Currency	Can be exchanged for rewards from the 24-hour TV program "Robotic Challenge." Obtainable by participating on the program.	<color=#ffffff>  </color>
57	Driver's Point	Currency	A point item gained from Send 'Em Flying. Can be used to obtain rewards and make Lufel dash in the Metaverse.	<color=#ffffff>  </color>
58	Route Ticket	Currency	Can be used for the Spin to Win Raffle. Obtainable by clearing Marthym's Limited-Time Offers or playing Metro of Desire.	AAAAAA==
59	Purrfect Premium Cat Food	Currency	Can be exchanged for rewards in the Shop.	<color=#ffffff>  </color>
62	NB[it][062]	Currency	[NB][IT][062]	AAAAAA==
63	Route Ticket	Currency	Can be used for the Spin to Win Raffle. Obtainable by clearing Marthym's Limited-Time Offers or playing Metro of Desire.	AAAAAA==
64	Tycoon Point	Currency	Obtainable by winning at Tycoon. Can be exchanged for various items at the Exchange Shop.	<color=#ffffff>  </color>
65	Spiritual Endurance	Currency	An item needed to attempt Trial of the Astrolabe. Restores 7 days after an attempt.	<color=#ffffff>  </color>
66	Repression Medal I	Currency	Obtainable from Persona dungeons on levels I	 II	 and III in the Realm of Repression. Can be exchanged for rewards in the Repression Medal shops.	<color=#ffffff>  </color>
1000	P Medal	Item	Allows purchase of various items within the Thieves Den. Used medals are restored over time.	AAAAAA==
1001	Prize Box	Commemorative Coin	Can be opened to obtain rewards exchanged with unused Rebel Coins.	<color=#ffffff>  </color>
1002	Compensatory Destiny Badge	Commemorative Coin	Can be opened to obtain rewards exchanged with unused Rebel Coins.	<color=#ffffff>  </color>
1003	Compensatory Route Ticket	Commemorative Coin	Unused tickets for the Spin to Win Raffle. Use them to receive converted rewards. Each ticket can be exchanged for 300 Konpaku Gems.	AAAAAA==
1004	Purrfect Premium Cat Food	Commemorative Coin	Can be exchanged for rewards in the Shop.	<color=#ffffff>  </color>
1005	Glass Orb	Commemorative Coin	Can be used in Tabby's Treasure Hunt.	AAAAAA==
1006	TV Show Point	Commemorative Coin	Points that can be obtained by participating in the 24-hour TV program. Can be exchanged for program rewards.	<color=#ffffff>  </color>
1007	Puzzle Piece	Commemorative Item	Receive a small amount of Konpaku Gems.	AAAAAA==
1008	Plum Blossom Knot	Event Currency	Can be exchanged for Wind's exclusive 4★ weapon or enhancement materials.	<color=#ffffff>  </color>
1009	Plum Blossom Knot	Commemorative Coin	Can be exchanged for 100 Konpaku Gems.	<color=#ffffff>  </color>
1010	Rare Shell	Event Currency	Obtainable from the Summer! Swimsuits! Sea Time! event. Can be exchanged for event rewards in the Beach House.	<color=#ffffff>  </color>
1011	Rare Shell	Commemorative Item	Can be exchanged for 10 Konpaku Gems.	<color=#ffffff>  </color>
1012	Rainbow Umbrella	Event Currency	Obtainable from the Summer! Swimsuits! Sea Time! event. Can be exchanged for event rewards in the Beach House.	<color=#ffffff>  </color>
1013	Rainbow Umbrella	Commemorative Item	Can be exchanged for 10 Konpaku Gems.	<color=#ffffff>  </color>
1014	Plum Blossom Arm Band	Event Currency	Can be exchanged for the Rank 7 Persona Cu Chulainn and its Seal.	<color=#ffffff>  </color>
1015	Plum Blossom Arm Band	Commemorative Coin	Can be exchanged for 100 Konpaku Gems.	<color=#ffffff>  </color>
1016	Trial Ticket	Event Currency	A ticket for the Phantom Thief Trials. Can be exchanged for rewards in the Shop during the event. Can't be used after the event ends.	<color=#ffffff>  </color>
1017	Trial Ticket	Commemorative Item	Can be exchanged for 100 Konpaku Gems.	<color=#ffffff>  </color>
1018	Plum Blossom Dango	Event Currency	Can be exchanged for the Rank 7 Persona Black Frost and its Seal.	<color=#ffffff>  </color>
1019	Plum Blossom Dango	Commemorative Coin	Can be exchanged for 100 Konpaku Gems.	<color=#ffffff>  </color>
1021	Route Ticket	Route Ticket	Can be used for the Spin to Win Raffle. Obtainable by clearing Marthym's Limited-Time Offers or playing Metro of Desire.	AAAAAA==
1022	Route Ticket	Route Ticket	Can be used for the Spin to Win Raffle. Obtainable by clearing Marthym's Limited-Time Offers or playing Metro of Desire.	AAAAAA==
1023	Route Ticket	Route Ticket	Can be used for the Spin to Win Raffle. Obtainable by clearing Marthym's Limited-Time Offers or playing Metro of Desire.	AAAAAA==
1024	Oracle Ink	Event Currency	Obtainable from the Cycle of Fate. Used to craft orange-rarity Revelation Cards.	<color=#ffffff>  </color>
1025	Oracle Ink	Commemorative Item	Can be exchanged for 10 Konpaku Gems.	<color=#ffffff>  </color>
1030	Tomb Destiny Badge	Event Currency	Obtainable by playing Crossroads of Fate: Pyramid Arc. Can be exchanged for rewards.	<color=#ffffff>  </color>
1031	Space Destiny Badge	Event Currency	Obtainable by playing Crossroads of Fate: Spaceport Arc. Can be exchanged for rewards.	<color=#ffffff>  </color>
1032	Tomb Destiny Badge	Commemorative Item	Badges obtained from Crossroads of Fate: Pyramid Arc can be exchanged for 10 Konpaku Gems.	<color=#ffffff>  </color>
1033	Space Destiny Badge	Commemorative Item	Badges obtained from Crossroads of Fate: Spaceport Arc can be exchanged for 10 Konpaku Gems.	<color=#ffffff>  </color>
10000	Error: tnxotb-[Item_name_10000]	Error: tnxotb-[Item_typeName_10000]	Test Reward	AAAAAA==
20000	Error: tnxotb-[Item_name_20000]	Error: tnxotb-[Item_typeName_20000]	Error: tnxotb-[Item_tips_20000]	AAAAAA==
20001	Request Refresh Ticket	Request	Able to change request content for dispatches before deploying Phantom Thieves. Obtainable from the Daily Bonus in the Shop and by claiming Phantom Pass Monday Rewards.	<color=#ffffff>  </color>
20002	Thieves Den EXP Credit	EXP	Used to level up your Thieves Den.	AAAAAA==
100101	Coffee Aid	Stamina Replenishment	Used to restore 60 Stamina.	<color=#ffffff>  </color>
100102	Coffee Candy	Stamina Replenishment	Used to restore 30 Stamina.	<color=#ffffff>  </color>
100146	Pass Experience Credit	Currency	Used to level up your Phantom Pass.	<color=#ffffff>  </color>
100147	Experience Pass	Currency	Used to level up your Phantom Pass.	<color=#ffffff>  </color>
100148	Experience Pass	Currency	Used to level up your Phantom Pass.	<color=#ffffff>  </color>
100149	Experience Pass	Currency	Used to level up your Phantom Pass.	<color=#ffffff>  </color>
100150	Experience Pass	Currency	Used to level up your Phantom Pass.	<color=#ffffff>  </color>
100151	Experience Pass	Currency	Used to level up your Phantom Pass.	<color=#ffffff>  </color>
100152	MaraThon Energy	AP Replenishment	Used to restore 5 Action Points.	<color=#ffffff>  </color>
100153	Konpaku Gem x1	000	Currency	Used to train Phantom Thieves and Personas.	<color=#ffffff>  </color>
100154	Joy Medal x100	Currency	Obtainable from the Trial of Thorns. Can be exchanged for Wonder-only 5★ weapons.	<color=#ffffff>  </color>
100155	Unknown Blue Revelation	Revelation	Randomly grants one blue-rarity Sun	 Moon	 Star or Sky Revelation Card.	<color=#ffffff>  </color>
100156	Unknown Purple Revelation	Revelation	Randomly grants one purple-rarity Sun	 Moon	 Star or Sky Revelation Card.	<color=#ffffff>  </color>
100157	Unknown Orange Revelation	Revelation	Randomly grants one orange-rarity Sun	 Moon	 Star or Sky Revelation Card. 	<color=#ffffff>  </color>
100158	Treat Yourself S	Gift Set	Completing city life activities will randomly give you various items.	<color=#ffffff>  </color>
100160	Meta Jewel x100	Currency	Used for Contracts	 Arms Deals	 and recovering your stamina.	<color=#ffffff>  </color>
100164	Fortune Revelation	Gift Set	Used to select and obtain one orange-rarity basic card.	<color=#ffffff>  </color>
100165	Fortune Revelation: Space	Gift Set	Used to select and obtain one Space Revelation Card.	<color=#ffffff>  </color>
100166	Info Sharing Reward	Gift Set	Randomly grants one of these items: Essentials	 Materials	 Flowers	 Ingredients	 or Seeds.	<color=#ffffff>  </color>
100167	Treat Yourself M	Gift Set	Randomly grants many various items after clearing City Life.	<color=#ffffff>  </color>
100168	Treat Yourself L	Gift Set	Randomly grants a ton of various items after clearing City Life.	<color=#ffffff>  </color>
100169	Surprise Capsule S	Gift Set	Obtainable by exchanging duplicate capsules. Randomly grants various items.	<color=#ffffff>  </color>
100170	Surprise Capsule L	Gift Set	Obtainable by exchanging duplicate capsules. The randomly granted items can be used as gifts for accomplices.	<color=#ffffff>  </color>
100171	Standard Pass Plus	Gift Set	A set of one Lucky Coin and various training materials. Reimburses reward differences between Premium Pass pts. 1 and 2.	AAAAAA==
100172	Premium Pass Plus	Gift Set	A set of four Lucky Coins and various training materials. Reimburses reward differences between Premium Pass parts 1 and 2.	AAAAAA==
100173	Unknown Revelation S: Orange	Revelation	Used to obtain a random Space Revelation Card of the same color.	<color=#ffffff>  </color>
100174	Words of Life Set	Gift Set	A set that can be opened to obtain Words of Life I rewards once.	AAAAAA==
100175	Words of Nature Set	Gift Set	A set that can be opened to obtain Words of Nature I rewards once.	AAAAAA==
100176	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100177	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100178	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100179	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100180	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100181	Thank-you Gift	Gift Set	Randomly grants a present for accomplices.	<color=#ffffff>  </color>
100182	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100183	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100184	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100185	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100186	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100187	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100188	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100189	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100190	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100191	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100192	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100193	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100194	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100195	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100196	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100197	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100198	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100199	Gift Set	Gift Set	A set that can be opened to obtain various rewards.	AAAAAA==
100201	Training Boost Set 1	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100202	Training Boost Set 2	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100203	Training Boost Set 3	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100204	Training Boost Set 4	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100205	Training Boost Set 5	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100206	Training Boost Set 6	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100207	Training Boost Set 1	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100208	Training Boost Set 2	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100209	Training Boost Set 3	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100210	Training Boost Set 4	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100211	Training Boost Set 5	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100212	Training Boost Set 6	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100213	Training Boost Set 1	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100214	Training Boost Set 2	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100215	Training Boost Set 3	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100216	Training Boost Set 4	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100217	Training Boost Set 5	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100218	Training Boost Set 1	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100219	Training Boost Set 2	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100220	Training Boost Set 3	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100221	Training Boost Set 1	Gift Set	A gift set that can be opened to obtain various training materials at random.	AAAAAA==
100301	EXP Box	Gift Set	Used to select and obtain 18 of these materials: Thief Compendium Tome	 Gold Parts	 and Legend Cube. 	AAAAAA==
100302	Training Box	Gift Set	Used to select and obtain 10 of these training materials: Fragrance of Iris	 Yellow Crystal	 and Skill Incense M.	AAAAAA==
100401	5★ Phantom Idol Contract 1	Gift Set	Can be used to select one of these characters: Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 or Haruna Nishimori.	AAAAAA==
100402	5★ Phantom Idol Contract 2	Gift Set	Can be used to select one of these characters: Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 Haruna Nishimori	 Minami Miyashita	 Yumi Shiina	 or Masaki Ashiya.	AAAAAA==
100403	5★ Phantom Idol Contract 3	Gift Set	Can be used to randomly select one of these characters: Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 Haruna Nishimori	 Minami Miyashita	 Yumi Shiina	 or Masaki Ashiya.	AAAAAA==
100404	5★ Phantom Idol Contract 4	Gift Set	Can be used to randomly select one of these characters: Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 Haruna Nishimori	 Minami Miyashita	 Yumi Shiina	 or Masaki Ashiya.	AAAAAA==
101001	Minami's Gift	Gift Set	Randomly grants one of these items: Kendama	 Adhesive Bandage	 IV Bag	 Tuna Rice Ball	 Salmon Rice Ball	 or Handmade Book Cover.	<color=#ffffff>  </color>
101002	Minami's Special Gift	Gift Set	Randomly grants one of these items: Shichi-kun Doll	 Burger Cushion	 Omni-Vitamins	 Cat Hairpin	 or Strawberry Bento Box.	<color=#ffffff>  </color>
101003	Haruna's Treasure	Gift Set	Randomly grants one of these items: Premium Shake	 Strawberry Flan	 Peach Water	 Yogurt Soda	 Fruit Juice	 Melon Smoothie	 or Idol Keychain.	<color=#ffffff>  </color>
101004	Haruna's Special Treasure	Gift Set	Grants one of these items: Puzzle Rings	 48-Sided 3D Puzzle	 Leather Pen Case	 ChocoStick Value Pack	 Black-Framed Glasses	 Handmade Book Cover	 Strawberry Bento Box	 Baseball Team Mascot Bear	 or Shichi-kun Doll.	<color=#ffffff>  </color>
101005	Tabby's Treasure	Gift Set	Randomly grants one of these items: Idol Keychain	 Penlight	 Kendama	 Shin Guards	 Mixed Nuts	 or Leather Pen Case.	AAAAAA==
101006	Singer's Novelty	Gift Set	Randomly grants one of these items: Penlight	 Coaster	 Sports Towel	 Heart-shaped Hand Mirror	 or Mixed Nuts.	<color=#ffffff>  </color>
101007	Tabby's Treasure	Gift Set	Randomly grants one item.	AAAAAA==
102001	Trial Key	Unlock Item	Allows you to unlock and play Phantom Thief Trials at a certain time. Up to three of these can be held at once.	AAAAAA==
170001	Railway Coin	Currency	Used to purchase various items at the shop. Only usable on the Metro of Desire.	<color=#ffffff>  </color>
170002	Flight Plan EXP Credit	Currency	Obtainable by clearing the adjusted Metro of Desire. Can raise your adjustment level for operation objectives.	<color=#ffffff>  </color>
170003	Remodel Ticket	Currency	Can be used to upgrade and enhance train abilities.	<color=#ffffff>  </color>
170004	Prayer Magatama	Currency	Revives a Phantom Thief that has fallen in battle after the battle ends.	<color=#ffffff>  </color>
180000	Marthym's Rewards Card	Gift Set	Can be used to obtain 300 Cognition Crystals. You will also receive 100 Meta Jewels and one Coffee Candy each day for 30 days.	<color=#ffffff>  </color>
180001	Premium Pass	Gift Set	Can be used to unlock Premium Pass Pt. 1.	<color=#ffffff>  </color>
180002	Premium+ Pass	Gift Set	Can be used to unlock the Premium Pass + and raise your Phantom Pass level by 10 levels.	<color=#ffffff>  </color>
190016	Support Gift I	Gift Set	Grants training materials such as these: Coffee Aid x3	 MaraThon Energy x2	 10	000 yen	 and Konpaku Gem x50	000.	AAAAAA==
190019	5★ Weapon Case	Gift Set	Can be used to select and obtain one 5★ weapon for Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 Haruna Nishimori	 Lufel	 Motoha Arai	 Shun Kano	 Leo Kamiyama	 Kayo Tomiyama	 Tomoko Noge	 Kiyoshi Kurotani	 Yukimi Fujikawa	 Seiji Shiratori	 Toshiya Sumi	 Kotone Montagne	 or Miyu Sahara. 	<color=#ffffff>  </color>
190020	5★ Phantom Idol Select Ticket	Gift Set	Can be used to select one of these characters: Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 or Haruna Nishimori.	<color=#ffffff>  </color>
190021	4★ Weapon Case	Gift Set	Can be used to select and obtain one 4★ weapon for Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 Haruna Nishimori	 Lufel	 Motoha Arai	 Shun Kano	 Leo Kamiyama	 Kayo Tomiyama	 Tomoko Noge	 Kiyoshi Kurotani	 Yukimi Fujikawa	 Seiji Shiratori	 Toshiya Sumi	 Kotone Montagne	 or Miyu Sahara.	<color=#ffffff>  </color>
190022	4★Phantom Idol Select Ticket	Gift Set	Can be used to select one of these characters: Lufel	 Motoha Arai	 Shun Kano	 Leo Kamiyama	 Kayo Tomiyama	 Tomoko Noge	 Kiyoshi Kurotani	 Yukimi Fujikawa	 Seiji Shiratori	 Toshiya Sumi	 Kotone Montagne	 or Miyu Sahara.	<color=#ffffff>  </color>
190023	Double Queen's Necklace	Gift Set	Grants Queen's Necklace x2	 which can awaken a Rank 3 - 4 Persona.	AAAAAA==
190024	Bamboo Growth/Trust Gift	Gift Set	Grants one purple-rarity Growth and Trust Revelation Card.	<color=#ffffff>  </color>
190025	Support Gift II	Gift Set	Grants training materials such as these: Coffee Aid x3	 MaraThon Energy x2	 and 10	000 yen.	AAAAAA==
190026	Pine Growth/Harmony Gift	Gift Set	Grants one orange-rarity Growth and Harmony Revelation Card.	<color=#ffffff>  </color>
190027	Power Gift: Bamboo	Gift Set	Grants all purple-rarity Power Revelation Cards.	<color=#ffffff>  </color>
190028	Power Gift: Pine	Gift Set	Grants all orange-rarity Power Revelation Cards.	<color=#ffffff>  </color>
190029	Skill Support Gift	Gift Set	Can be used to select and obtain 10 of these items: Essence of Orchid	 Essence of Lily	 Essence of Bluebell	 Essence of Tulip	 Essence of Iris	 and Essence of Laurel.	AAAAAA==
190030	Interference Gift: Pine	Gift Set	Grants all orange-rarity Interference Revelation Cards.	<color=#ffffff>  </color>
190031	Departure Gift: Pine	Gift Set	Grants all orange-rarity Departure Revelation Cards.	<color=#ffffff>  </color>
190032	Cheap Aroma Box	Gift Set	Can be used to select and obtain 20 of these items: Fragrance of Orchid	 Fragrance of Lily	 and Fragrance of Iris.	AAAAAA==
190033	Luxury Aroma Box	Gift Set	Can be used to select and obtain 25 of these items: Fragrance of Orchid	 Fragrance of Lily	 and Fragrance of Iris.	AAAAAA==
190034	Cheap Crafting Box	Gift Set	Can be used to select and obtain 20 of these items: Craftsman's Notes	 Bronze Ingot	 and Medium Mold.	AAAAAA==
190035	Luxury Crafting Box	Gift Set	Can be used to select and obtain 25 of these items: Craftsman's Notes	 Bronze Ingot	 and Medium Mold.	AAAAAA==
190036	3★ Weapon Case	Gift Set	Can be used to select and obtain one 3★ weapon for Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 Haruna Nishimori	 Lufel	 Motoha Arai	 Shun Kano	 Leo Kamiyama	 Kayo Tomiyama	 Tomoko Noge	 Kiyoshi Kurotani	 Yukimi Fujikawa	 Seiji Shiratori	 Toshiya Sumi	 Kotone Montagne	 or Miyu Sahara.	<color=#ffffff>  </color>
190037	Mystery Weapon Kit "MA"	Weapon	Mystery Phantom Thief "MA"-only melee weapon.	AAAAAA==
190039	Limited 4★ Weapon Case	Gift Set	Can be used to select and obtain one 4★ weapon for Ren Amamiya	 Mystery Phantom Thief "MA	 Mystery Phantom Thief BU	 Mystery Phantom Thief FO	 Morgana, Ryuji Sakamoto, Ann Takamaki, Haruna Nishimori, Yaoling Li, Kayo Tomiyama, Miyu Sahara, Lufel, Motoha Arai, Shun Kano, Tomoko Noge, Toshiya Sumi, Yukimi Fujikawa, Seiji Shiratori, Leo Kamiyama, Kotone Montagne, or Kiyoshi Kurotani.,<color=#ffffff>  </color>
190040,4★ Weapon Case,Gift Set,Can be used to select and obtain one 4★ weapon for Yusuke Kitagawa, Makoto Niijima, Morgana, Ryuji Sakamoto, Ann Takamaki, Haruna Nishimori, Kayo Tomiyama, Miyu Sahara, Lufel, Motoha Arai, Shun Kano, Tomoko Noge, Toshiya Sumi, Yukimi Fujikawa, Seiji Shiratori, Leo Kamiyama, Kotone Montagne, Kiyoshi Kurotani, or Chizuko Nagao.,<color=#ffffff>  </color>
190041,Lucky Persona Box,Gift Set,Can be used to select one of these Personas: Lamia, Ame-no-Uzume, or Setanta.,<color=#ffffff>  </color>
190042,Joyous Persona Box,Gift Set,Can be used to select one of these Personas: Lamia, Ame-no-Uzume, or Setanta.,<color=#ffffff>  </color>
