sn	checkpointNum	title	describe	victoryText	failText
42404	Level 4	Nuclear and Psychokinesis 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42405	Level 5	Nuclear and Psychokinesis 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42501	Level 1	Curse and Bless 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42502	Level 2	Curse and Bless 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42503	Level 3	Curse and Bless 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42504	Level 4	Curse and Bless 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
42505	Level 5	Curse and Bless 101	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43101	Level 1	Body Tempering	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43102	Level 2	Body Tempering	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43103	Level 3	Body Tempering	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43104	Level 4	Body Tempering	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43105	Level 5	Body Tempering	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43201	Level 1	Zen Meditation	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43202	Level 2	Zen Meditation	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43203	Level 3	Zen Meditation	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43204	Level 4	Zen Meditation	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43205	Level 5	Zen Meditation	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43301	Level 1	Enlightenment	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43302	Level 2	Enlightenment	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43303	Level 3	Enlightenment	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43304	Level 4	Enlightenment	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
43305	Level 5	Enlightenment	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44101	Level 1	Weapon Hunt Area A	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44102	Level 2	Weapon Hunt Area A	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44103	Level 3	Weapon Hunt Area A	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44104	Level 4	Weapon Hunt Area A	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44105	Level 5	Weapon Hunt Area A	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44201	Level 1	Weapon Hunt Area B	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44202	Level 2	Weapon Hunt Area B	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44203	Level 3	Weapon Hunt Area B	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44204	Level 4	Weapon Hunt Area B	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44205	Level 5	Weapon Hunt Area B	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44301	Level 1	Weapon Hunt Area C	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44302	Level 2	Weapon Hunt Area C	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44303	Level 3	Weapon Hunt Area C	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44304	Level 4	Weapon Hunt Area C	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
44305	Level 5	Weapon Hunt Area C	Enemy strength increases according to the level of the Phantom Thieves.	AAAAAA==	AAAAAA==
100000	Error: tnxotb-[Checkpoint_checkpointNum_100000]	Error: tnxotb-[Checkpoint_title_100000]	Error: tnxotb-[Checkpoint_describe_100000]	Open Chest	Null
100001	Error: tnxotb-[Checkpoint_checkpointNum_100001]	Error: tnxotb-[Checkpoint_title_100001]	Error: tnxotb-[Checkpoint_describe_100001]	Open Chest	Null
100002	Bonus Stage 1	Error: tnxotb-[Checkpoint_title_100002]	Error: tnxotb-[Checkpoint_describe_100002]	Open Chest	Null
100003	Bonus Stage 2	Error: tnxotb-[Checkpoint_title_100003]	Error: tnxotb-[Checkpoint_describe_100003]	Open Chest	Null
100004	Bonus Stage 3	Error: tnxotb-[Checkpoint_title_100004]	Error: tnxotb-[Checkpoint_describe_100004]	Open Chest	Null
100005	Bonus Stage 4	Error: tnxotb-[Checkpoint_title_100005]	Error: tnxotb-[Checkpoint_describe_100005]	Open Chest	Null
100006	Bonus Stage 5	Error: tnxotb-[Checkpoint_title_100006]	Error: tnxotb-[Checkpoint_describe_100006]	Open Chest	Null
100007	Bonus Stage 6	Error: tnxotb-[Checkpoint_title_100007]	Error: tnxotb-[Checkpoint_describe_100007]	Open Chest	Null
100008	Bonus Stage 7	Error: tnxotb-[Checkpoint_title_100008]	Error: tnxotb-[Checkpoint_describe_100008]	Open Chest	Null
100009	Bonus Stage 8	Error: tnxotb-[Checkpoint_title_100009]	Error: tnxotb-[Checkpoint_describe_100009]	Open Chest	Null
100010	Bonus Stage 9	Error: tnxotb-[Checkpoint_title_100010]	Error: tnxotb-[Checkpoint_describe_100010]	Open Chest	Null
100011	Bonus Stage 10	Error: tnxotb-[Checkpoint_title_100011]	Error: tnxotb-[Checkpoint_describe_100011]	Open Chest	Null
100101	Shinjuku Stalker	Error: tnxotb-[Checkpoint_title_100101]	Change the heart of the Shinjuku Stalker Yoshito Seno	Defeat Seno's Shadow	Null
300000	Error: tnxotb-[Checkpoint_checkpointNum_300000]	Casino	Explore the Palace and investigate the accusations	AAAAAA==	AAAAAA==
1	AAAAAA==	Error: tnxotb-[Checkpoint_title_1]	Error: tnxotb-[Checkpoint_describe_1]	AAAAAA==	AAAAAA==
49999	AAAAAA==	Materials Dungeon	Original Stage Open Slot	AAAAAA==	AAAAAA==
