sn	textContent
1015017	Ranged Attack
1015018	Confirm
1015019	Role Details
1015020	About Attributes
1015022	Recommended Party 
1015023	Party Characteristics
1015024	Damage
1015025	%s reached Hidden Ability level %s (%s/%s)
1015026	Raise %s to level %s (%s/%s)
1015027	Wonder will gain the attributes of his equipped Personas.
1015028	Assignment Tips
1015029	A Phantom Thief or Persona below is on another team and can't be added.
1015030	A Phantom Thief or Persona below is locked and can't be added.
1016001	Stage Start
1016003	Stamina required: %d
1016004	Left: %s
1016005	Stamina restored: %d
1016006	Stage locked.
1016007	If you abort the infiltration	 you will lose all rewards obtained in the Palace. Are you sure you want to quit?
1016008	Enemies are stronger when the security level is high	 making battles more difficult.
1016009	This episode is not unlocked.
1016010	Left: Unlimited
1016011	Clearing %s will unlock the episode.
1016012	Mission failed.
Try again after becoming stronger or use different tactics.
1016013	Obtained Persona: %s
1017000	Stage End
1018000	Expires after %s
1018001	 %s d
1018002	 %s h
1018003	 %s min
1018005	Claim until: %s
1018006	Expires in under 1 min.
1018007	No mail available.
1019000	No profile message added.
1019001	Not a Companio member.
1019002	Please enter your message.
1019003	%s name change cards left
1019004	Characters: %s/%s
1019007	City Life Day
1019008	Companio
1019009	Time Left: {0} d {1} h
1019010	Expires in {0} h {1} min.
1019501	Role
1019502	Wonder's Role will match the first equipped Persona.
1020000	Phantom Thief level cap increased to 
<color=#FFF000>Lv. %s</color>.
1020002	EX
1020003	%d Set
1020004	Equip 2 or more pieces to activate set effects.
1020005	Cost: %s
1020007	Required Level: %d
1020008	<color=#FFFF00>%d</color> <color=#FFFF00>%s%s</color> required.
1020009	Melee Weapons|Ranged Weapons|Armor|Accessories|Parts
1020010	Random Attribute
1020013	Nothing equipped
1020014	Material
1020015	Star
1020016	Star Level
1020017	Set
1020018	Remove
1020019	Change
1020020	Equip
1020021	Enhance
1020022	Overclock
1020023	Forge
1020024	Joker
1020025	%s
1020026	New Random Attribute
1020027	Randomize Attribute
1020028	Type Filter
1020029	Select All
1020030	No active set effects.
1020031	Set Effect
1020033	Additional Attributes
1020034	<color=#FFC000>Enhanced</color>
1020035	<color=#FFC000>Rarity is too high.</color>
1020036	Some materials cannot be used due to EXP limitations. The following have been returned.
1020037	Selected Materials
1020038	Training
1020039		 
1020040	%s new Sub-Attributes added.
1020041	Auto-enhance %s Sub-Attributes
1020042	Required Level: <color=#FF423F>%d</color>
1020043	Weapon Level
1020044	Weapon Rarity
1020045	Overclock
1020046	Forge Level
1020047	Currently unavailable.
1020048	Hidden Ability
1020049	Do you want to enhance?
1020050	Reach Hidden Ability level %d to further level up Phantom Thief.
1020052	Melee attack 1 foe	 dealing <color=#FF423F>physical damage</color>.
1020053	Deals Gun damage to one enemy. Can attack as many times as there are remaining bullets.
1020054	Melee damage increases according to your level.
1020055	• Ranged attack damage and accuracy increases with your level.
• Ranged attacks also have their own critical rate	 which is affected by your critical rate.
1020056	 Only
1020057	Level (Descending)
1020058	Level (Ascending)
1020059	Rarity (Descending)
1020060	Rarity (Ascending)
1020061	Attack
1020062	Attack Percentage
1020063	HP
1020064	HP Percentage
1020065	Defense
1020066	Defense Percentage
1020067	Critical Rate
1020068	Set Filter
1020069	All
1020070	 Set Effect
1020071	Sort by Level
1020072	Sort by Rarity
1020073	Sort by EXP
1020074	Sort by Set
1020075	Card
1020076	Currently equipped Personas are shown here.
1020077	Your main party will be prioritized for main story stages.
1020078	Party
1020080	No Persona selected.
1020081	Fish Caught: %s
1020082	You can enhance even more once Wonder's level reaches %d.
1020083	Unlocks at level %s.
1020084	Unlocked at Synergy Rank %s with Merope
1020085	Crafting currently unavailable.
1020086	Locked
1020087	Unlocks at level 30
1020088	Let's catch some fish!
1020089	It's free to craft this time.
1020090	Get extra rewards for crafting!
1020091	%s chance of bonus effects doubled
1020092	High-Rarity
1020093	Enhanced
1020094	Forged
1020095	Common
1020096	Rare
1020097	To Be Unlocked
1020098	<color=#f1b500>%s</color>
 caught at %s with %s. (Weather: %s Time: %s)
1020099	Catch Log
1020100	It seems you've reached Fishing Level %d %s.
1020101		 
<color=#f1b500>%s</color> unlocked
1020102	2★
1020103	3★
1020104	Forge Details
1020105	• Speed determines the turn order in battle.
• A skill's accuracy changes based on the difference from the target's speed.
1020106	• SP recovery is the amount of SP a Phantom Thief recovers each turn.
• Pierce rate measures the amount of a foe's Defense is ignored when dealing damage.
• Ailment accuracy is the rate of inflicting a debuff on a foe.
• Ailment resistance is the rate of receiving debuffs.
1020107	GPU-accelerated rendering provides a 120 FPS experience with low power consuption.
1020108	Speed up conversations with Fast Forward.
1020109	Currently locked.
1020201	[%s]
1020202	Forge Effects
1020203	Current Effect
1020204	Back
1020205	Another time.
1020206	Draw 1 %s
1020207	Draw 5 %s
1020209	As per <color=#FF423F>%s</color>'s request	 you've successfully exchanged your %s for their %s.
1020210	Successfully exchanged your {2} for {0}'s {1}.
1020211	The %s your friend %s gave you has been unlocked in your Collection!
1020212	Added to your collection on: %s
1020213	All
1020214	Do you want to trade %s for %s?
1020215	<color=#FF423F>%s</color> accepted the trade request.
1020216	You can cancel after %s.
1020217	Claim %s and tap screen to close.
1020218	 h
1020219	 min
1020220	Tradable: %s
1020221	There is nothing to trade.
1020222	Not owned
1020223	Displays the last %s records.
1020224	Tap screen to open.
1020225	Read "Encapsulated Mysteries" to boost the appearance rate of rare and super rare capsules. This book can be obtained from Awards.
1020226	Slide to rotate.
1020227	No trade requests.
1020228	Partner: %s
1020229	My Stock
1020235	Common
1020236	%s
%s
%s
1020237	%s
%s
1020238	(Obtained from trades and cannot be traded.)
1021001	Level %s
1021002	<color=#8F8D8D>Online %s min ago</color>
1021003	<color=#8F8D8D>Online %s h ago</color>
1021004	<color=#8F8D8D>Online %s d ago</color>
1021005	My ID: %s
1021006	%s has expired.
1021007	Does not exist.
1021008	Online
1021009	%s (%s)
1021010	No friends.
1021011	No friend requests.
1021012	Note (1-7 characters)
1021013	Expired
1021014	Last online
1021015	Previous Assist
1022001	10 More Turns
1022002	1 More Turn
1022003	10 Turns
1022004	Draw: %s
1022005	Time Left: %s d %s h %s min
1022006	Contracts Left Today: %d
1022007	Drawable Contracts Left Today: %d
1022009	Phantom Thieves
1022010	Weapons
1022011	Time Left: %s h %s min
1022012	Time Left: %s min
1022013	%s Exclusive
1022014	 | 
1022015	Phantom Thief
1022016	Weapon
1022017	Left: %s/%s
1022018	You can search messages from the past 90 days. (If the search results do not load	 please try again later.)
1022019	Contracts
1022020	Supplies
1022021	Shows only messages from the past %s days.
1022022	Until 5★: %s/%s
1022023		 %s more until the next guaranteed 5★!
1022024	Select a Most Wanted 5★ weapon.
1022025	Select two non-Most Wanted 5★ weapons.
1022026	Joined
1022027	* Other opportunities to get exclusive 5★ Phantom Thieves may be available in the future.
1022028	This 5★ contract Phantom Thief is a <color=#FFFC40>Standard Phantom Thief</color> and will be added to the <color=#FFFC40>Phantom Idol Contracts</color> lineup after the event ends.
1022029	<color=#FFFC40>{0}</color> is an exclusive weapon and will not be available in the Your Pick lineup after the event ends.
1022030	The Regular Weapon <color=#FFFC40>{0}</color> will be included in the Your Pick lineup after the event ends.
1022031	Select Most Wanted
1022032	Select 5★ Weapons
1022033	%s has joined the Phantom Thieves
1022046	Page %s/%s
1022047	Choose one <color=#EADE10>5★ Phantom Thief</color> from the lineup when you draw <color=#EADE10>%s/%s</color> Phantom Idol Contracts.
1022048	Draw 300 Phantom Idol Contracts to receive one of the following <color=#EADE10>5★ Phantom Thieves</color> of your choosing.
1022049	Do you want to trade to receive the 5★ Phantom Thief %s?
1022051	Draw 50 Newcomer Contracts to receive one of the following <color=#EADE10>5★ Phantom Thieves</color> of your choosing.
1022052	Do you want to trade for the Persona {0}?
1022053	Newcomer Contracts
1022054	Contracts
1022055	Select a Persona
1022056	Contract Type
1022057	Contract Time
1022058	Only information from the past 90 days can be viewed.
1022059	Supply Type
1022060	Supply Time
1022061	Only information from the past 90 days can be viewed.
1022062	Until 5★: %s/%s
1022063	{0} Discounts Left: {1}
1022064	Select one.
1022065	After <color=#EADE10>{0}/{1}</color> contracts	 you can obtain a <color=#EADE10>5★ Phantom Idol Contract x1</color>. Use this to obtain one of the Phantom Thieves below at random.
1022066	Contracts
1022067	Next time	 obtain a <color=#EADE10>5★ Phantom Idol Contract x1</color>. Use this to obtain one of the Phantom Thieves below at random.
1022068	In this gacha	 you can receive an extra <color=#EADE10>{0} x{1}</color> each time you draw a contract.
1022069	Select the Phantom Thief you would like. This selection can be changed at any time.
1022070	Currently Selected Non-Most Wanted Weapons: {0}	 {1}
1023001	Replenish %d stamina at 8 PM UTC.
1023002	Restores 1 stamina after %s.
1023003	Complete recovery in: <color=#FFC000>%s</color>
1023004	Progress
1024002	%s/h
1024003	Available Attempts: %s
1024004	Current Points: %s
1024005	<color=#FF423F>Victory</color>
1024006	<color=#FF423F>Defeat</color>
1024007	Victory
1024008	Defeat
1024012	Get rewards at each rank. Ranks reset every season.
1024013	You can only receive achievement rewards once.
1024014	Your end-of-season rewards will be sent to your inbox.
1024015	You
1024016	Season ends in: %s.
1024017	The current season has ended	 and the results are being calculated. Please wait a moment.
1024018	This season has ended.
1025001	Space
1025002	Heavens
1025111	Joined {1}/{2}/{0}
1025112	All
1025113	Rank %s
1025114	Type: %s
1025115	Times Cooked: %s
1025116	Collected: 
1025117	Set Effect
1025118	Forge Details
1025119	Base Status
1025120	Maximum level
1025121	Set Effect
1025122	Food Effect
1025123	Phantom Thieves
1025124	Weapons
1025125	Personas
1025126	Revelations
1025127	Recipes
1025128	Capsules
1025129	Catch Log
1025130	Story Log
1026002	Challenge Attempts: %d/%d
1026003	You do not have enough stamina.
1026004	Daily challenge limit reached.
1026005	Dungeon is locked.
1026006	Daily challenge limit reached.
1026007	This dungeon unlocks at level %d.
1026008	Clearing %s will unlock the episode.
1026009	This dungeon is %s. Cannot enter.
1026010	Please clear %s first.
1026051	Rewards: <color=#0F69CA>%s/%s</color>
1026052	You need more stamina!
1026053	Rewards: <color=#0F69CA>%s/%s</color>
1026054	Unlocks through Main Story missions.
1026055	Challenge will begin after completion of %s in the main story.
1027000	Daily Dungeons
1027001	Age Confirmation
1027002	Please enter your birthdate.
1027003	The birthdate you entered is invalid. Please enter a correct birthdate.
1027004	Is this your birthdate? 
 {1}/{0}
1027005	AAAAAA==
1027006	AAAAAA==
1027007	AAAAAA==
1027008	AAAAAA==
1027010	AAAAAA==
1027011	AAAAAA==
1027012	AAAAAA==
1027013	* Please check the previous screen for details on item content.
1027014	Do you want to use these items
to raise the level from Lv. %d to Lv. %d?
1027015	Not Set
1027016	Att.
1027017	Role
1027018	Content Details
1027019	You can use a 5★ Welcome Idol Chance to get a 5★ Phantom Thief.
5★ Phantom Thieves
Morgana	 Ryuji Sakamoto	 Ann Takamaki	 Yaoling Li	 and Haruna Nishimori.
1027020	Rarity
1027021	Name
1027022	Contract Rate
1027023	Note:
If you obtain a Phantom Thief or Persona that you already have	 it will be automatically exchanged for the items below based on its rarity and how many times you've obtained it.
5★ Phantom Thief
Obtained 2 - 7 Times
That Phantom Thief's Cognitite x1	 Violet Cognigem x30

Obtained 8+ Times
Violet Cognigem x75
1027024	Held
1027025	{NAME2}
1027026	{PLAYER_NAME}
1027027	{PLAYER_NAME}
1027028	{NAME2}
1027029	Specified Commercial Transactions Act and Payment Services Act
1027030	Shop
1027036	Error: tnxotb-[Text_textContent_1027036]
1027038	Amount Held
1027039	Do you want to spend the following items to purchase %s?
1027040	Spend %s
1027041		 
1027043	You can pre-download (download amount) of game data before release.
Even if you select cancel	 you can select manual download on the title screen. Regardless of whether the download is completed	 you will not be able to log in to the game until release.
Do you want to pre-download?
1028001	Cannot find Companio.
1028002	Phantom Thieves must be at least level %s.
1028003	Members: %s/%s
1028004	Join Requirements: %s
1028005	Contribution: %s
1028006	Cannot find Companio.
1028007	Phantom Thieves must be at least level %s.
1028008	Level %s+
1028009	Auto-Approve Level %s
1028010	Requests
1028011	Sent
1028012	Change %s's permission to the following: 
1028014	Only players who meet the level conditions can ask to join.
1028015	Players who meet the level conditions will be auto-approved.
1028016	Leave Companio
1028017	Step Down
1028018	<color=#FF423F>%s</color> joined the Companio.
1028019	<color=#FF423F>%s</color> changed <color=#FF423F>%s</color> to <color=#FF423F>%s</color>.
1028020	<color=#FF423F>%s</color> changed the Companio name to <color=#FF423F>%s</color>.
1028021	<color=#FF423F>%s</color> appointed <color=#FF423F>%s</color> as leader.
1028022	<color=#FF423F>%s</color> left the Companio.
1028023	<color=#FF423F>%s</color> was removed <color=#FF423F>%s</color> from the Companio.
1028024	<color=#FF423F>%s</color> stepped down as subleader.
1028026	Contribution: %s
1028027	Contribution History %s
1028028	No Companios.
1028029	Your level is not high enough.
1028030	Join
1028031	<color=#FF423F>%s</color> created a Companio.
1028032	Stage %s
1028033	Weekly limit %s
1028035	%s<color=#FF423F>%s</color> has increased their Influence.
1028036	Rewards will be sent to your inbox after the week's results have been calculated.
1028037	Current Stage
1028038	(Max <color=#FF423F>%s</color>)
1028040	Today
1028041	This week
1028042	<color=#FF423F>%s</color> has been offline for a long time.|The leader role has been automatically given to <color=#FF423F>%s</color>.
1028043	Enter a Companio name or ID to search...
1028044	Give your Companio a name.
1028045	<color=#FF423F>Online</color>
1028046	<color=#8F8D8D>Online %s min ago</color>
1028047	<color=#8F8D8D>Online %s h ago</color>
1028048	<color=#8F8D8D>Online %s d ago</color>
1028049	Participation:
1028050	Quick Request
1028051	You are no longer a member of this Companio and will be removed.
1029032	%s Turns
1029033	%s actions
1030034	Complete this action.
1030035	Less than %s turns.
1030036	Less than %s deaths.
1030037	Room %s
1030038	%s-Stack
1030039	Perm.
1030040	Win within %s actions.
1030041	Hidden Ability
1030042	%s
1030043	Paused
1030044	Battle Intel
1030045	Continue Battle
1030046	Stage Suspended
1030047	Stage Information
1030048	ContiNuE
1030049	Awareness
1030050	Hide information about Assist Phantom Thief sets.
1030051	This skill cannot specify a target.
1030052	Skip
1030053	Show New
1030054	All
1030055	No info
1030056	Battle Settings
1030057	Use Support Phantom Thief
skills during auto-battle
1030058	Auto-Select 1 MORE Target
1030059	Change Personas in Auto-Battle
1030060	Use Highlight in Auto-Battle
1030061	Skip Animations
1030062	Support Phantom Thieves Animations
1030063	Highlight Animations
1030064	Skip Normal Attacks
1030065	Simplify Battle Results
1030066	Camera Auto-Adjust
1030067	Network error. Please log in again. (Error code: 1030067)
1030068	Simplified Battle
1030069	Description
1030070	Traits
1030071	Language Settings
1030072	No skill information to display.
1031001	Unlocked tutorials: <color=#FF423F>%d</color>
1031002	There are no tutorials available.
1031003	No options containing <color=#FF423F>%s</color>.
1031005	%s...
1031006	Search
1031007	Select a tutorial to view.
1032001	Do you want to use %s to craft %s?
1032002	Fusion will produce 1 <color=#FF423F>%s's Seal</color>.
1033001	Present
1033002	Hangouts
1033003	???
1033004	Tap here to chat.
1033005	Tap here to reply.
1033006	No replies.
1033007	Base Synergy +%s	 with an extra +%s for preferred gifts	 with an extra +%s for first-time preferred gifts.
1033008	Basic Synergy +%s
Bonus +%s for preferred gifts
Bonus +%s</color> for first-time preferred gifts
1033009	Unlocks at %s rank %s
1033010	Upon reaching Synergy Rank {1} with {0}	 making presents will require fewer materials.
1033011	Upon reaching Synergy Rank {1} with {0}	 there is a chance you will make more than one present.
1033012	Have stat %s reach level %s
1033013	Have stat %s reach level %s. Have %s reach level %s
1033014	Tap screen to continue.
1033015	Own a %s with the skill %s
1033016	Fulfill the following to further increase your rank
1033017	Hang out with %s
1033018	Upon reaching Synergy Rank {1} with {0}	 making battle items will require fewer materials.
1033019	Clear missions related to {0} {1}
1033020	Form Bonds
1033021	{0} is your {1}. Do you want to change your relationship with {2}? Note: Changing your relationship can't be undone for {3} days.
1033022	Close Friend
1033023	Soulmate
1033024	{0} might like this present.
1033025	<color=#0F69CA>(<size=40><sprite=1></size>+{0})</color>
1033026	Your gift increased your Synergy by <color=#FFDE00>{0}</color>.
1033027	Synergy +%s
1033028	Well-received +%s
1033029	First-time well-received +%s
1033030	This present is liked by all of your accomplices.
1034000	Rank 
1034001	Lv.
1034002	Rarity
1034003	Material
1034004	Star
1034005	Maximum level reached
1034006	Community Category
1034007	This skill cannot be leveled up.
1034008	Record
1034009	This Persona has reached the max star level.
1034010	Unlocks at level %s (%s/%s)
1034011	Unlocks at level 10 (%s/10)
1034012	Unlocks at level 50 (%s/50)
1034013	Raise any stat to level 5 to unlock
1034014	Unlock by clearing Normal 1-2 of Recollections
1034015	Persona's Cognitite
1034016	Attribute
1034017	Random Item
1034018	Unlocks at level 20 (%s/20)
1034019	Unlocks at level 30 (%s/30)
1034020	Unlocks at level 40 (%s/40)
1034021	Default Outfit
1034022	Overclock
1034023	Thief Lv.
1034024	Rarity
1034025	Awareness Level
1034026	Attribute
1034027	Unlocks at Hidden Ability level %d
1034028	Can level up at Hidden Ability Lv. %d
1034029	Can enhance at Thief Lv. %d
1034030	This skill is already at max level.
1034031	Enhance
1034032	Obtain Skill
1034033	Hidden Ability enhanced from level 1 to level 2
1034034	Hidden Ability enhanced from level 2 to level 3
1034035	Can level up at Persona Lv. %d
1034036	Additional Skill
1034037	1 MORE
1034038	Highlight
1034039	Current Effect: 
1034040	Next Level Effect: 
1034041	Max Awareness Level reached
1034042	Skills
1034043	Passive Skill
1034044	Special Skill
1034045	Special Skill
1034046	Material rarity: 
1034047	Weapon rarity: 
1034048	Card rarity: 
1034049	Persona rarity: 
1034050	Beginner
1034051	Intermediate
1034052	Advanced
1034053	Rare
1034054	Super Rare
1034055	Ultra Rare
1034056	Rainbow
1034057	You already have this Persona	 so you obtained %s x%d from the fusion.
1034058	Use Persona Seals
to fuse a new Persona.
1034059	Can level up at Wonder Lv. %d
1034060	Support Effect
1034061	Flames of Desire activates when the Phantom Thieves in
your party and Wonder's Persona share the same Attribute.
1034062	Harmony Effects
1034063	%s Attribute Harmony Effects
1034064	Concerto: Enhances damage for four Attributes in party.
1034065	Concerto: Increases %s/%s/%s/%s damage by %s.
1034066	Unlocks at Thief Lv. %d
1034067	%d
1034068	Unlocks at Persona level %d
1034069	Concerto Effects
1034070	Enhance Awareness
1034071	Do not use seal
1034072	White or lower
1034073	Blue or lower
1034074	Purple or lower
1034075	Select All
1034076	Clear All
1034077	%s cannot learn <color=#FF423F>%s</color> skills.
1034078	This skill unlocks at Persona Lv. %d.
1034079	New skill at Lv. %s
1034080	All skills unlocked.
1034082	Thief Tactics
1034083	Weapons with the same rarity can be used for forging.
1034084	Weapons with the same star level can be used as materials.
1034085	Weapons with the same name can be used as materials.
1034086	Enhancement Materials
1034087	Training Materials
1034088	Awakening Effect
1034089	Unlock Skills
1034090	Enhance
1034091	Rank Up
1034092	Overclock
1034093	Training
1034094	New skill at Lv. %s
1034095	Max rank reached.
1034096	Overclock
1034097	No skills
1034098	No Skills Equipped
1034099	Enter a skill name to search.
1034100	Enhanced Effect
1034101	Increases Persona level cap
to <color=#FFF000>Lv.%s</color> 
1034102	Rank up unlocks when %s reaches Lv. %s
1034103	Next rank unlocks when Wonder reaches Lv. %s
1034104	Weapons with the same star level can be used as materials.
1034105	Trait Up
1034106	Weapons with the same star level or
%scan be used as materials.
1034107	Only %s can be used as materials.
1034108	Fuse <color=#FFF000>%s</color>.
1034109	Missing:
1034110	Seals Used:
1034111	Fusion
1034112	Filter Options
1034113	Filter for skills available
1034117	AAAAAA==
1034118	AAAAAA==
1034119	AAAAAA==
1034120	AAAAAA==
1034121	AAAAAA==
1034122	AAAAAA==
1034123	AAAAAA==
1034124	AAAAAA==
1035001	Unlock when Wonder reaches level %d
1035002	<color=#FF423F>Unlockable</color>
1035003	Maximum level
1035004	Do you want to reset your schema?
1035006	Unlock
1035007	Level Up
1035008	Not enough schema points.
1035009	The prerequisite skill has not been unlocked.
1035010	Cannot exceed the level
of the prerequisite skill.
1035011	The total cost <size=46><color=#ffffff><sprite=2 tint=1></size></color> must be higher than %d.
1035012	Requires %d <size=46><color=#ffffff><sprite=2 tint=1></size></color>.
1035013	Requires %d <size=46><color=#ffffff><sprite=2 tint=1></size></color>.
1035014	Wonder must be at least Lv. %d.
1035015	Requires <size=46><color=#ffffff><sprite=2 tint=1></size>%d</color> and <size=46><color=#ffffff><sprite=17 tint=1></size>%d</color>.
1035016	Requires <size=46><color=#ffffff><sprite=2 tint=1></size>%d</color> and <size=46><color=#ffffff><sprite=17 tint=1></size>%d</color>.
1035017	Requires <size=46><color=#ffffff><sprite=30 tint=1></size>%d </color>.
1035018	Requires <size=46><color=#ffffff><sprite=30 tint=1></size>%d </color>.
1035019	Requires <size=46><color=#ffffff><sprite=30 tint=1></size>%d </color>.
1035020	Requires <size=46><color=#ffffff><sprite=30 tint=1></size>%d </color>.
1035077	The selected enhancement materials include <color=#FF423F>high-rarity</color> items.

1035078	Any <color=#FF423F>excess experience</color> from this enhancement will be converted into general materials.

1035079	Do you want to enhance with the selected materials?
1035080	Owned
1035081	Cannot be inherited.
1035082	Fuse to obtain %d more skills 
1035083	You did not receive any additional skills this time.
1030080	%s/%s Questions
1022034	Accuracy: %s/%s
1022041	Get 6 or more correct to open the treasure chest.
1022042	Get 6 or more correct to open the treasure chest.
1022043	Get 6 or more correct to open the treasure chest.
1022044	Get 6 or more correct to open the treasure chest.
1022045	Get 6 or more correct to open the treasure chest.
1036001	No stage goals.
1036002	Select or drag Phantom Thieves to change the turn order.
1036003	Selecting other Phantom Thieves will change the turn order.
1037001	%s times left
1037009	Team B
1037010	Team A
1038004	Saved screenshots: Installation folder\ScreenShots
1038005	Saved to album.
1038006	Saved screenshots: %s
1039001	Chapter 1
1039002	Chapter 2
1039003	Chapter 3
1039004	Chapter 4
1039005	Chapter 5
1039006	Chapter 6
1039007	Chapter 7
1039008	Chapter 8
1039009	Chapter 9
1039010	Chapter 10
1040001	Within %d ally actions
1040002	%s Attack Score
1040003	%s Attack Score
1040004	Weakness Score
1040005	1 More Score
1040006	No more than %d KO'd allies
1040007	No more than %d attacks
1040008	Deploy %s Phantom Thieves
1040009	Deploy %s party members
1040010	Deal weakness/All-Out Attacks
1040016	Critical
1040017	%s Ally Attack Score
1040018	Clear within %d turns
1040019	Non-Wonder allies deal weakness/All-Out Attacks
1040012	x %d
1040014	A Team
1040015	B Team
1040023	Requires 4 party members
1040101	Cancel
1040200	Daily Life Menu
1041001	Cancel
