sn	specialAwardName	specialAwardShowMessage
1001	The Fish Whisperer's Guidance	You can now use Third Eye at the fishing pond
1005	The Joy of Fishing	You unlock a new Fishing Pond
1009	Fishing Pond Regular	New items are available at the Catch 'n' Trade
1013	The Thrill of the Catch	You unlock a new Fishing Pond
1017	Fishing Pond VIP	More new items are available at the Catch 'n' Trade
1101	Green Thumb	You need less time to grow plants
1105	Gardening Sense	You unlock more flower pots and planters
1109	Gift from the Earth	You may obtain seeds when harvesting plants
1113	Bountiful Harvest	You may get extra when harvesting plants
1117	Gardening Guru	You need much less time to grow plants
1201	Solo Revolution	It will be easier to get Perfect or Great notes
1205	Savior on Stage	A Miss can become a Perfect once every 10 seconds
1209	Solo Rock	You unlock the song "Seize the Light"
1213	Twelve-String Sunset	You can complete long notes without lifting your finger
1220	With the Daybreak	You unlock the song "Wonder Light"
1301	Shake	You learn more drink recipes
1305	Build	You learn more drink recipes
1309	Apéritif	You can buy more Assam Tea at the Shinjuku Convenience Store
1313	Blend	Your chance of mixing delicious drinks increases (only applies to marked drinks)
1317	Original Cocktail	You have a 50% chance of mixing an extra drink (only applies to marked drinks)
1401	Power of Love	AAAAAA==
1405	Warm Tolerance	AAAAAA==
1409	Power of Begging	AAAAAA==
1413	Power of Puppy-Dog Eyes	AAAAAA==
1417	Superpower of Love	AAAAAA==
1501	Reload!	AAAAAA==
1505	Load the Chamber!	AAAAAA==
1509	Aim!	AAAAAA==
1513	Fire!	AAAAAA==
1517	Light 'Em Up!	AAAAAA==
1601	Moon on the Water	AAAAAA==
1605	Budding Knight	AAAAAA==
1609	Blossom Whirlwind	AAAAAA==
1613	Spring Scenery	AAAAAA==
1617	A Hundred Flowers Blooming	AAAAAA==
1701	Love and Order	AAAAAA==
1705	Love and Hope	AAAAAA==
1709	Love and Constraint	AAAAAA==
1713	Love and Longing	AAAAAA==
1717	Love and Future	Instantly complete dispatch missions.
(Up to 3 times per week)
1801	Shake	You learn more drink recipes
1805	Build	You learn more drink recipes
1809	Apéritif	Your chance of mixing delicious drinks increases (only applies to recipes taught by Yumi Shiina)
1813	Blend	You learn more drink recipes
1817	Original Cocktail	You have a 50% chance of mixing an extra drink (only applies to recipes taught by Yumi Shiina)
1901	Shake	You learn more drink recipes
1905	Build	You learn more drink recipes
1909	Apéritif	Your chance of mixing delicious drinks increases (only applies to recipes taught by Yumi Shiina)
1913	Blend	You learn more drink recipes
1917	Original Cocktail	You have a 50% chance of mixing an extra drink (only applies to recipes taught by Yumi Shiina)
2001	Shake	You learn more drink recipes
2005	Build	You learn more drink recipes
2009	Apéritif	Your chance of mixing delicious drinks increases (only applies to recipes taught by Yumi Shiina)
2013	Blend	You learn more drink recipes
2017	Original Cocktail	You have a 50% chance of mixing an extra drink (only applies to recipes taught by Yumi Shiina)
