sn	interactionTxt
bqg_common_bangqiuguisuo_holder02	Baseball Stand
bqg_common_bangqiuguisuo_holder03	Baseball Stand
bqg_common_faqiuji	Break
bqg_common_notebook	Research
bqg_yilei_door_small	Open Door
bqg_yilei_door_small_noCam	Open Door
bqg_yilei_door_small_oneway	Open Door
bqg_yilei_door_large	Open Door
bqg_yilei_door_large_oneway	Open Door
bqg_yilei_door_glass	Open Door
bqg_yilei_door_net01	Open Door
bqg_yilei_door_net02	Open Door
bqg_yilei_faqiuji	Break
bqg_common_kaiguan_down_noCam	Use
bqg_sanlei_menjinka_empty	Fan Card
bqg_sanlei_lamp01	Thumb Light
bqg_sanlei_lamp02	Thumb Light
bqg_sanlei_lamp03	Thumb Light
bqg_sanlei_lamp04	Thumb Light
bqg_sanlei_lamp11	Thumb Light
bqg_sanlei_lamp12	Thumb Light
bqg_sanlei_lamp13	Thumb Light
bqg_sanlei_lamp14	Thumb Light
bqg_sanlei_lampTubeOn01	Thumb Light
bqg_sanlei_lampTubeOn02	Thumb Light
bqg_sanlei_lampTubeOn03	Thumb Light
bqg_sanlei_lampTubeOn04	Thumb Light
bqg_sanlei_kaiguan	Current Switch
bqg_sanlei_kaiguan_down	Current Switch
bqg_sanlei_kaiguan_box01	Power Box
bqg_sanlei_kaiguan_box02	Power Box
bqg_sanlei_kaiguan_box03	Power Box
jiguan_trigger_rope_bqg_Y301	Grappling Hook
jiguan_trigger_rope_bqg_Y301_empty	Grappling Hook
jiguan_trigger_rope_bqg_Y302	Grappling Hook
jiguan_trigger_rope_bqg_Y302_empty	Grappling Hook
jiguan_trigger_rope_bqg_Y401	Grappling Hook
bqg_tiantai_tongfengguandao_h_1_2	Slide
bqg_tiantai_tongfengguandao_h_1_4	Slide
bqg_tiantai_tongfengguandao_h_1_4_extendedSlide	Slide
bqg_tiantai_tongfengguandao_h_2_3	Slide
bqg_tiantai_tongfengguandao_h_2_4	Slide
bqg_common_bangqiubaoxiangTestLeft	Treasure Chest
bqg_common_bangqiubaoxiangTestCenter	Treasure Chest
bqg_common_bangqiubaoxiangTestRight	Treasure Chest
jiguan_trigger_rope_bqg_gongdianwai01	Grappling Hook
TELEPORT_ysc_chuansongdian_empty	Proceed
TELEPORT_ysc_chuansongdian_empty01	Proceed
TELEPORT_ysc_chuansongdian_damen_empty	Jump
jiguan_emptyModel_ysc_damen	Jump
jiguan_emptyModel_ysc_erlounei	Jump
jiguan_emptyModel_ysc_xiaomenhou	Jump
jiguan_emptyModel_ysc_onWaydoor	Open
jiguan_emptyModel_ysc_wuyan	Jump
ysc_common_juxianhuaCamera	Take
ysc_common_juxianhuaCamera_trigger01	Take
ysc_common_juxianhuaCamera_trigger02	Take
ysc_common_zantingCamera	Take
ysc_common_shijianzhouCamera	Take
ysc_KeyTable	Pick Up
ysc_tiaozhan_chufa_1	Shadow Hunting Grounds
ysc_tiaozhan_chufa_2	Shadow Hunting Grounds
ysc_tiaozhan_chufa_3	Shadow Hunting Grounds
ysc_tiaozhan_chufa_4	Shadow Hunting Grounds
ysc_tiaozhan_chufa_5	Shadow Hunting Grounds
ysc_tiaozhan_chufa_7	Recollections
ysc_tiaozhan_chufa_8	Shadow Hunting Grounds
ysc_tiaozhan_chufa_9	Shadow Hunting Grounds
ysc_common_baoxiang_lv1	Treasure Chest
ysc_common_baoxiang_lv2	Treasure Chest
ysc_common_baoxiang_lv3	Treasure Chest
ysc_common_baoxiang_lv3_locked	Treasure Chest
ysc_common_baoxiang_table	Treasure Chest
jiguan_trigger_rope_eyzj_chengbao01	Grappling Hook
jiguan_trigger_rope_eyzj_chengbao02	Grappling Hook
jiguan_trigger_rope_eyzj_chengbao03	Grappling Hook
jiguan_trigger_rope_eyzj_chengbao04	Grappling Hook
eyzj_chengbao02_rope01	Grappling Hook
eyzj_chengbao02_rope02	Grappling Hook
eyzj_chengbao02_rope03	Grappling Hook
eyzj_chengbao02_rope04	Grappling Hook
eyzj_msgmigong_chuansongmen	Proceed
eyzj_msgmigong_trigger_rope_01_01	Grappling Hook
eyzj_msgmigong_trigger_rope_02_01	Grappling Hook
tzb_heartOcean_gateDoor	Open Door
tzb_heartOcean_normalFence	Challenge
tzb_heartOcean_eliteFence	Open Door
tzb_heartOcean_dianti	Ride
tzb_heartOcean_battleTrigger	Challenge
tzb_heartOcean_normalFenceLight	Open Door
tzb_heartOcean_newGate01	Open Door
tzb_heartOcean_newGate02	Open Door
rogue_common_baoxiang_qzh	Railway Coin
rogue_common_baoxiang_ys	Charm
rogue_common_baoxiang_qw	Lost Items
test_reward_can	Ram
test_reward_canshadow	Ram
yxkj_youqitong	Ram
yxkj_youqitong_shadow_blue	Ram
yxkj_youqitong_shadow_jiaoxue	Ram
yxkj_youqitong_shadow_purple	Ram
yxkj_youqitong_shadow_gold	Ram
ysc_tianshougenei_shengjiang	Control
ysc_tianshougenei_kaiguan	Control
ysc_tianshougenei_kaiguan01	Control
ysc_shinei_C3_gousuo	Grappling Hook
ysc_shinei_C3_gousuo_2	Grappling Hook
jiguan_tianshouge_gousuo_A1_01	Grappling Hook
jiguan_tianshouge_gousuo_A1_02	Grappling Hook
jiguan_tianshouge_gousuo_zhongkong	Grappling Hook
jiguan_trigger_rope_ysc1F_01	Grappling Hook
ysc_tianshougenei_guidaokaiguan	Control
ysc_tianshouge_door_shuang	Open Door
ysc_tianshouge_ganraoqi01	Control
jiguan_trigger_rope_ysc1F1_01	Grappling Hook
jiguan_trigger_rope_ysc1F1_02	Grappling Hook
jiguan_trigger_rope_ysc1F1_03	Grappling Hook
jiguan_trigger_rope_ysc1F1_04	Grappling Hook
jiguan_trigger_rope_ysc1F1_05	Grappling Hook
jiguan_trigger_rope_ysc1F1_06	Grappling Hook
jiguan_trigger_rope_ysc3W1_01	Grappling Hook
jiguan_trigger_rope_ysc3W1_02	Grappling Hook
jiguan_trigger_rope_ysc3W1_03	Grappling Hook
jiguan_trigger_rope_ysc3W1_04	Grappling Hook
jiguan_trigger_rope_ysc3W2_01	Grappling Hook
jiguan_trigger_rope_ysc3W2_02	Grappling Hook
jiguan_trigger_rope_ysc3W2_03	Grappling Hook
ysc_tianshougenei_shengjiang02	Control
ysc_tianshouge_shengjiang_red_Camera	Control
ysc_tianshouge_shengjiang_red_guidao	Control
ysc_tianshouge_shengjiang_red_xiaozudang	Control
ysc_tianshouge_chuansong	Proceed
gb_common_xiansuo	Watch
ysc_tianshouge_toumingguandao	Proceed
ysc_common_ditujia	Map
ysc_tianshougenei_guidaokaiguan01	Control
ysc_tianshouge_1Fdoor_shuang	Open Door
ysc_tianshouge_1Fdoor_shuang_lv	Open Door
ysc_tianshouge_1Fdoor_shuang_huang	Open Door
ysc_tianshouge_1Fdoor_shuang_hong	Open Door
ysc_tianshouge_1Fdoor_dan	Open Door
ysc_tianshouge_2Fdoor_shuang	Open Door
ysc_tianshouge_2Fdoor_shuang_lv	Open Door
ysc_tianshouge_2Fdoor_shuang_huang	Open Door
ysc_tianshouge_2Fdoor_shuang_hong	Open Door
ysc_tianshouge_2Fdoor_shuang_dan	Open Door
ysc_common_renzhisuipian	Research
ysc_tsg2F_zhongkongshi_men	Research
ysc_tsg2F_BoosFight_rukoutongdao	Research
ysc_tsg2F_BossFight_tongdao_new	Go Through
ysc_BossFight_dideng	Research
sb_common_nengliang_shoujiqi_caokongtai	Control
sb_common_nengliang_shoujiqi_ground	Control
sb_common_nengliang_shoujiqi_ground_dian	Control
sb_common_nengliang_shoujiqi_ground_re	Control
sb_common_nengliang_shoujiqi_ground_dong	Control
sb_common_baoxiang_lv1	Treasure Chest
sb_common_baoxiang_lv2	Treasure Chest
sb_common_baoxiang_lv3	Treasure Chest
sb_common_baoxiang_lv3_locked	Treasure Chest
sb_common_baoxiang_hexin	Treasure Chest
sb_kzzx_baoxiang_lv1	Treasure Chest
sb_kzzx_baoxiang_lv2	Treasure Chest
sb_kzzx_baoxiang_lv3	Treasure Chest
sb_kzzx_baoxiang_lv3_locked	Treasure Chest
sb_kzzx_baoxiang_hexin	Treasure Chest
sb_kzzx_luodifengshan02	Research
TELEPORT_dabazhandao_to_FDJF	Return to Generator Room
sb_common_luodifengshan02	Research
sb_DaBaDing_gousheng01	Grappling Hook
sb_DaBaDing_gousheng02	Grappling Hook
sb_shuichang_door_large_01	Open Door
sb_shuichang_door_small_01	Open Door
sb_shuichang_door_small_02	Open Door
sb_common_shanshuo01	Obtain
sb_shuichang_touyingyi	Research
sb_shuichang_dianti_caokong_shang	Up
sb_shuichang_dianti_caokong_xia	Down
sb_shuichang_shengjiangti_TVb	Use
sb_shuichang_shengjiangti_TVb_hollow	Use
sb_shuichang_shengjiangti_FDC_CZJ	Use
sb_shuichang_shengjiangti_FDC_XSC	Use
sb_shuichang_TT1_fengshan_jiaofu	Delivery
TELEPORT_sb_chuansongdian_rukou01	Proceed
TELEPORT_sb_shuichang_juanlianmen02	Use
TELEPORT_sb_chuansongdian_dianti_shang	Up
TELEPORT_sb_chuansongdian_dianti_xia	Down
TELEPORT_sb_shuichang_door_small_01	Open Door
TELEPORT_sb_shuichang_door_large_01	Open Door
sb_shuichang_toumingguandao_duan01	Proceed
sb_shuichang_TVa_gousheng	Grappling Hook
sb_shuichang_TT_gousheng01	Grappling Hook
sb_shuichang_TT_gousheng01a	Grappling Hook
sb_shuichang_TT_gousheng02	Grappling Hook
sb_shuichang_TT_gousheng03	Grappling Hook
sb_shuichang_TT_gousheng04	Grappling Hook
sb_shuichang_TT_gousheng05	Grappling Hook
sb_shuichang_TT_gousheng06	Grappling Hook
sb_shuichang_TT_gousheng07	Grappling Hook
sb_shuichang_changjing_ditu01	Map
sb_shuichang_changjing_ditu02	Map
sb_shuichang_changjing_ditu03	Map
sb_shuichang_liantiao02	Chain
nengliangjiefa	Control
chuandizhuang	Rotate
pianshan_caokongtai	Control
pianshan_jiqiren	Action
pianshan_jiqiren_kecaokong	Action
tanshijiguan1	Action
nengliangjiefa01	Control
chuandizhuang01	Rotate
pianshan_shibiekaiguan	Verify
FDC_boli_keposui_5m4_01	Break
FDC_boli_keposui_6m_01	Break
FDC_boli_keposui_5m_01	Break
FDC_boli_keposui_5m4_02	Break
FDC_boli_keposui_6m_02	Break
FDC_boli_keposui_5m_02	Break
FDC_caozuotai01	Control
FDC_kongzhijixiang01	Control
weisuomoxing01	Obtain
weisuomoxing02	Obtain
weisuomoxing03	Obtain
weisuomoxing04	Obtain
weisuomoxing05	Obtain
weisuomoxing06	Obtain
weisuomoxing_gangsheng	Hang Up
func_trigger_test	Control
FDC_bashou01	Control
FDC_FDJF_xin	Break
FDC_diantimen01	Open
FDC_fanghuomen	Open
FDC_fanghuomen0302	Open
FDC_huxingmen01	Open
FDC_putongmen01	Open Door
FDC_zhalanmen01	Open Door
FDC_weisuomoxing_fadian	Use
FDC_weisuomoxing_fadian_huoqu	Obtain
FDC_weisuomoxing_2_huoqu	Obtain
FDC_weisuomoxing_3_huoqu	Obtain
sb_fdc_xsc_shanshuo01	Research
sb_FDC_BOSS_pianshan_gousheng	Grappling Hook
sb_fadianchang_CZJ_gousheng01	Grappling Hook
sb_FDC_CZJ_gousheng01	Grappling Hook
sb_FDC_CZJ_gousheng02	Grappling Hook
sb_FDC_SLJ_gousheng01	Grappling Hook
sb_FDC_SLJ_gousheng02	Grappling Hook
sb_FDC_FDJF_gousheng01	Grappling Hook
sb_FDC_FDJF_gousheng02	Grappling Hook
sb_FDC_FDJF_gousheng03	Grappling Hook
sb_FDC_FDJF_gousheng04	Grappling Hook
sb_FDC_FDJF_gousheng05	Grappling Hook
sb_FDC_FDJF_gousheng06	Grappling Hook
sb_FDC_BD3_gousheng01	Grappling Hook
sb_FDC_BD3_gousheng02	Grappling Hook
FDC_huoyundianti01_up	Up
FDC_huoyundianti01_down	Down
sb_fadianchang_changjing_ditu01	Map
sb_fadianchang_changjing_ditu02	Map
sb_fadianchang_changjing_ditu03	Map
TELEPORT_sb_KZZX_door_small01	Open Door
sb_KZZX_door_small01	Open Door
sb_KZZX_door_big01	Open Door
sb_KZZX_door_big01_Single	Open Door
sb_KZZX_door_big02	Open Door
sb_KZZX_door_big03	Open
sb_KZZX_kongzhitai	Use
sb_KZZX_jingshenganrao01	Action
sb_KZZX_jingshenganrao02	Action
sb_KZZX_pianshan_caokongtai	Control
sb_KZZX_pianshanjiqiren_control	Action
sb_KZZX_yanjinggui02	Obtain Glasses
sb_KZZX_xinpian01	Obtain
sb_KZZX_xinpian02	Obtain
sb_KZZX_xinpian03	Obtain
sb_KZZX_xinpian04	Obtain
sb_KZZX_xinpian05	Obtain
sb_KZZX_HXJKS_zhongxinkongzhitai	Insert the chip
sb_KZZX_HXJKS_sifangkongzhitai01	Insert the chip
sb_KZZX_HXJKS_sifangkongzhitai02	Insert the chip
sb_KZZX_HXJKS_sifangkongzhitai03	Insert the chip
sb_KZZX_HXJKS_sifangkongzhitai04	Insert the chip
sb_KZZX_changjing_ditu01	Map
sb_KZZX_changjing_ditu02	Map
sb_KZZX_changjing_ditu03	Map
sb_KZZX_ZXSZL_Hook	Grappling Hook
sb_KZZX_KZS_Screen	Switch
sb_FDC_diwang_big	Jump
sb_common_diaochadian_empty_1	Research
ld_yiqi_chuansongdian_empty	Proceed
ld_yiqi_diaochadian_empty	Research
ld_yiqi_diaochadian_empty_1	Research
ld_yiqi_baoxiang_muzhi	Treasure Chest
ld_yiqi_baoxiang_jinshu	Treasure Chest
ld_yiqi_baoxiang_jinshu_littleTrigger	Treasure Chest
ld_yiqi_baoxiang_gaoji	Treasure Chest
ld_yiqi_baoxiang_gaoji_level3	Treasure Chest
ld_yiqi_paiqiu	Obtain
ld_yiqi_pick_jinpai	Obtain
ld_yiqi_switch_emlahuan01	Pull Ring
ld_yiqi_door_suolian01	Research
ld_yiqi_door_suolian01_01	Research
ld_yiqi_shujia	Research
ld_yiqi_bangqiuyaoshi	Take Baseball
ld_yiqi_door_zisedamen	Open Door
ld_yiqi_door_baise	Open Door
ld_yiqi_door_baise_menshuan	Open Door
ld_yiqi_mibaojian_door	Open Door
ld_yiqi_diaoxiangdunpai	Obtain
ld_yiqi_diaoxiangdunpai_jingxing	Obtain
ld_yiqi_xiguan_wuqijia	Obtain
ld_yiqi_dunpai_tijiao	Equip
ld_yiqi_wuqi_tijiao	Equip
ld_yiqi_bangqiuguisuo_pink03	Place
ld_yiqi_wangzuozhijian_door	Surveillance
ld_yiqi_jiaotang_door	Open Door
jiguan_gousuo_wangzuozhijian01	Grappling Hook
jiguan_gousuo_jiaotang01	Grappling Hook
jiguan_gousuo_tashangceng01	Grappling Hook
ld_yiqi_door_zisedamen_chuansong	Open Door
ld_yiqi_xiansuo	Investigate
ld_yiqi_dxtdkey	Obtain
ld_yiqi_HpPoint	Rest
ld_yiqi_xlc_lagan	Open Door
ld_yiqi_xlc_lagan_locked	Open Door
ld_yiqi_door_emptymodel	Open
ld_yiqi_baoxiang_key	Obtain
ld_yiqi_tunnel_01	Proceed
ld_yiqi_tunnel_02	Proceed
ld_yiqi_yaoshi	Pick up key
ld_yiqi_yaoshi_yinse	Pick up key
ld_yiqi_yaoshi_jinse	Pick up key
ld_yiqi_41142_sliding	Slide
ld_yiqi_pick_shu	Obtain
ld_yiqi_xiansuo_joker	Watch
ld_yiqi_dilao_switch_01	Pull
ld_yiqi_dilao_switch_lock_01	Pull
ld_yiqi_door_dianti	Use
ld_yiqi_door_xiaoxiangmen	Research
ld_yiqi_huoyan_jump	Climb
ld_yiqi_door_zisedamen_normal	Open Door
ld_yiqi_switch_emlahuan02	Insert Key
ld_yiqi_door_mumen01	Open Door
ld_yiqi_door_zongsemen01	Open Door
ld_yiqi_door_xiaoxiangmen01	Research
ld_yiqi_door_xingjuexing	Research
ld_erqi_msg_common_door01	Open Door
ld_erqi_msg_kzkg01	Pull
ld_erqi_msg_tuimen01	Open Door
ld_erqi_msg_dzmkg01	Switch
ld_erqi_msg_baoxiang_normal	Treasure Chest
ld_erqi_msg_baoxiang_zhongji	Treasure Chest
ld_erqi_msg_baoxiang_gaoji	Treasure Chest
ld_erqi_msg_baoxiang_zhongji_effect	Treasure Chest
ld_erqi_msg_baoxiang_gaoji_effect	Treasure Chest
ld_erqi_msg_zhongyangtingyuan_pingfeng	Open Door
ld_erqi_msg_zhongyangtingyuan_pingfengzu	Open Door
ld_erqi_msg_common_ditujia	Pick Up
ld_erqi_msg_common_switch02	Use
ld_erqi_msg_anniu01	Switch
ld_erqi_msg_kztkg01	Switch
ld_erqi_msg_common_switch01	Use
ld_erqi_yaoshi_yinse	Pick up key
ld_erqi_yaoshi_jinse	Pick up key
msg_common_jiaohuhuaxiang	Crooked Painting
ld_erqi_niuqumigong_teleport	Proceed
ld_erqi_msg_42081_rope01	Grappling Hook
ld_erqi_msg_meishuguanqian_door	Open Door
ld_erqi_door_lvsemen	Open Door
ld_erqi_baoxiang	Treasure Chest
ld_erqi_baoxiang_pre	Treasure Chest
ld_erqi_baoxiang_sup	Treasure Chest
ld_erqi_baoxiang_teshu	Treasure Chest
ld_erqi_baoxiang_teshu_level1	Treasure Chest
ld_erqi_switch_dianxiang	Break
ld_erqi_yh_switch_anniu	Use
ld_erqi_yh_switch_anniu_effect	Use
ld_erqi_switch_card	Keycard
ld_erqi_switch_card_golden	Keycard
ld_erqi_switch_card_effect	Keycard
ld_erqi_switch_card_golden_effect	Keycard
ld_erqi_yh_baoxianmen	Open
ld_erqi_yh_shoujipin	Research
ld_erqi_chaopiao	Mountain of Cash
ld_erqi_dianti_empty	Use Elevator
ld_erqi_tunnel_01_in	Proceed
ld_erqi_tunnel_01_out	Proceed
ld_erqi_tunnel_02_in	Proceed
ld_erqi_tunnel_02_out	Proceed
ld_erqi_yh_gousuo_0101	Grappling Hook
ld_erqi_yh_gousuo_0102	Grappling Hook
ld_erqi_yh_gousuo_0401	Grappling Hook
ld_erqi_yh_gousuo_0501	Grappling Hook
ld_erqi_yh_gousuo_0502	Grappling Hook
ld_erqi_yh_42161_rope01	Grappling Hook
ld_erqi_yh_42172_rope01	Grappling Hook
ld_erqi_yh_42172_rope02	Grappling Hook
ld_erqi_yh_42172_rope03	Grappling Hook
ld_erqi_yh_42161_rope02	Grappling Hook
ld_erqi_tunnel_03_in	Proceed
ld_erqi_tunnel_03_out	Proceed
ld_erqi_switch_mimashuru	Enter
ld_erqi_switch_zuoyoushuru	Enter
ld_erqi_zhongyangdianti_keyong	Proceed
ld_erqi_yh_shoujipin_lie	Research
ld_erqi_yh_shoujipin_sit	Research
ld_erqi_yinhangqian_door	Open Door
ld_erqi_diaochadian_empty_1	Proceed
ld_erqi_baoxiang_teshu2	Treasure Chest
jiguan_emptyModel_42162	Treasure Chest
ld_erqi_switch_fake	Keycard
sb_shuichang_dianti_liantiao_test_3b_move	Treasure Chest
ld_erqi_ladder_fake	Proceed
ld_sanqi_jzt_statue	Research
ld_sanqi_jzt_switch_common	Use
ld_sanqi_jzt_switch_coffin	Use
ld_sanqi_jzt_door_switch	Open Door
ld_sanqi_jzt_door_big	Open Door
ld_sanqi_jzt_baoxiang_normal	Treasure Chest
ld_sanqi_jzt_baoxiang_sup	Treasure Chest
ld_sanqi_jzt_touying	Use
ld_sanqi_jzt_chuansong	Proceed
ld_sanqi_jzt_43031_rope01	Grappling Hook
ld_sanqi_jzt_43091_rope01	Grappling Hook
ld_sanqi_jzt_43091_rope02	Grappling Hook
ld_sanqi_jzt_end_door	Proceed
ld_sanqi_jzt_end_jiguan	Use
sb_kongzhizhongxin_MindControl_Device	Control
ld_sanqi_yzjd_switch_door	Research
ld_sanqi_yzjd_dianti_plane	Pull
ld_sanqi_yzjd_switch_door_bai	Research
ld_sanqi_yzjd_switch_door_lan	Research
ld_sanqi_yzjd_switch_door_zi	Research
ld_sanqi_yzjd_dianti_forward	Pull
ld_sanqi_yzjd_dianti_square	Research
ld_sanqi_yzjd_switch_space_01	Pull
ld_sanqi_yzjd_switch_space_02	Pull
ld_sanqi_yzjd_baoxiang_normal	Treasure Chest
ld_sanqi_yzjd_baoxiang_sup	Treasure Chest
ld_sanqi_yzjd_baoxiang_pre	Treasure Chest
ld_sanqi_yzjd_rope	Grappling Hook
ld_sanqi_yzjd_switch_jixiebi	Research
ld_sanqi_yzjd_switch_screen	Research
ld_sanqi_yzjd_44071_rope01	Grappling Hook
ld_sanqi_yzjd_diaochadian_empty_jqr	Research
ld_sanqi_yzjd_chuansong	Proceed
ld_sanqi_yzjd_44021_rope01	Grappling Hook
ld_sanqi_yzjd_44021_rope02	Grappling Hook
ld_sanqi_yzjd_empty_test	Action
ld_sanqi_yzjd_44091_rope01	Grappling Hook
ld_sanqi_yzjd_44041_rope01	Grappling Hook
ld_sanqi_yzjd_diaochadian_empty	Research
ld_sanqi_yzjd_dianti_special	Research
ld_sanqi_yzjd_44091_rope02	Grappling Hook
ld_sanqi_yzjd_44031_rope01	Grappling Hook
