sn	name	des
6019	Multitasker	Work 5 unique part-time jobs. 
6020	City Walker	Complete 5 unique City Life activities. 
6021	Street Searcher	Complete 10 unique City Life activities. 
6022	Urban Expert	Complete 20 unique City Life activities. 
6023	Just the One	 Thanks	Enter the bathhouse in Yongen-Jaya. 
6024	Don't Stay in Too Long	Enter the bathhouse in Yongen-Jaya 10 times 
6025	Today's Fortune	Have Chihaya Mifune read your fortune. 
6026	Fortune Fever	Have Chihaya Mifune read your fortune 20 times. 
6027	The First Score	Earn money through a part-time job. 
6028	Abundant Wealth	Earn 100	000 yen. 
6029	Infinite Wealth	Earn 1	000	000 yen. 
6030	Shopping Spree	Spend 10	000 yen. 
6031	Shopaholic	Spend 100	000 yen. 
6032	Shop Until You Drop	Spend 1	000	000 yen. 
6033	Charming in Your Own Way	Raise Charm to level 2. 
6034	Boy Next Door	Raise Charm to level 5. 
6035	Talk of the Town	Raise Charm to level 10. 
6036	Walking Pheromones	Raise Charm to level 20. 
6037	Well Informed	Raise Knowledge to level 2. 
6038	Quite Encyclopedic	Raise Knowledge to level 5. 
6039	Outstanding Intellect	Raise Knowledge to level 10. 
6040	Boundless Wisdom	Raise Knowledge to level 20. 
6041	Unflinching	Raise Guts to level 2. 
6042	Courageous	Raise Guts to level 5. 
6043	Dauntless	Raise Guts to level 10. 
6044	Inimitable Hero	Raise Guts to level 20. 
6045	It's About Drive	Raise Proficiency to level 2. 
6046	Fairly Proficient	Raise Proficiency to level 5. 
6047	Flawless Execution	Raise Proficiency to level 10. 
6048	Artisanal Technique	Raise Proficiency to level 20. 
6049	Compassionate	Raise Kindness to level 2. 
6050	A Kind Person	Raise Kindness to level 5. 
6051	The Perfect Caregiver	Raise Kindness to level 10. 
6052	Unofficial Guardian	Raise Kindness to level 20. 
6053	Read and Learn	Read 3 times. 
6054	Avid Reader	Read 10 times. 
6055	Lost in Literature	Read 50 times. 
6056	Popcorn Enjoyer	Watch a movie. 
6057	Film Aficionado	Watch 5 movies. 
6058	Movie Maniac	Watch 20 movies. 
6059	Aiming for Honors	Attend 5 classes. 
6060	Passion for Knowledge	Attend 20 classes. 
6065	Watch Your Head!	Hit the ball 20 times at the batting cages.
6066	Home Run King	Hit a home run 20 times at the batting cages. 
6067	The Prince of Baseball	On the batting cage's highest difficulty	 hit 5 home runs in one game. 
6068	Large Ramen!	Win the beginner's eating challenge at Victory Kitchen.
6069	Extra Large Ramen!	Finish the Extra-Large Ramen at Victory Kitchen. 
6070	Universe-Sized Ramen!	Finish the Universe-Sized Ramen at Victory Kitchen. 
6071	Café Leblanc	Enter the café in Yongen-Jaya for the first time. 
6072	Chill Time	Take a break at the café in Yongen-Jaya 10 times. 
6073	Came for the Coffee	Take a break at the café in Yongen-Jaya 30 times. 
6074	Utmost Comfort	Take a break at the café in Yongen-Jaya 60 times. 
6075	The Usual	 Boss	Take a break at the café in Yongen-Jaya 100 times. 
6076	Capsule Toy Mania	Use the capsule machine 100 times. 
7001	Student Driver	Drive 1	000 m in the Cattlemobile. 
7002	Experienced Driver	Drive 10	000 m in the Cattlemobile. 
7003	Ace Driver	Drive 100	000 m in the Cattlemobile. 
7004	Pedal to the Metal	Accelerate the Cattlemobile 10 times. 
7005	Rocket Propulsion	Accelerate the Cattlemobile 100 times. 
7006	Crash!	Ram a Shadow with the Cattlemobile. 
7007	Bang Bang Crash!	Ram a Shadow with the Cattlemobile 20 times. 
7008	Full Throttle Crash!	Ram a Shadow with the Cattlemobile 100 times. 
7009	Shopping Distance	Submit 100 tickets in the Path of Qimranut. 
7010	Picnic Range	Submit 2	000 tickets in the Path of Qimranut. 
7011	Cross-Country Trip	Submit 5	000 tickets in the Path of Qimranut. 
7012	International Departure	Submit 10	000 tickets in the Path of Qimranut. 
7013	Around the World	Submit 15	000 tickets in the Path of Qimranut. 
7014	Commuting Distance	Submit 100 tickets in the Path of Aiyatsbus. 
7015	Club-Activities Range	Submit 2	000 tickets in the Path of Aiyatsbus. 
7016	Extracurricular Lesson Trip	Submit 5	000 tickets in the Path of Aiyatsbus. 
7017	School Trip Distance	Submit 10	000 tickets in the Path of Aiyatsbus. 
7018	Study Abroad Distance	Submit 15	000 tickets in the Path of Aiyatsbus. 
7019	Thief's Instinct	Open a treasure chest in the first Palace. 
7020	While We're At It	Open 20 treasure chests in the first Palace. 
7021	Treasure Here	 Treasure There	Open 100 treasure chests in the first Palace. 
7022	Treasure Lover	Open a treasure chest in the second Palace. 
7023	Fortune Finder	Open 20 treasure chests in the second Palace. 
7024	Treasure Hunter	Open 100 treasure chests in the second Palace. 
7025	Ascend to the Heavens	Use the grappling hook 10 times in a Palace. 
7026	Riding the Wind	Encounter Whirlwinds in Mementos 5 times. 
7027	One with the Wind	Encounter Whirlwinds in Mementos 100 times. 
7028	Bang!	Obtain Konpaku Gems from ramming into rusty drums 5 times. 
7029	Bang Bang!	Obtain Konpaku Gems from ramming into rusty drums 20 times. 
7030	Bang Bang Bang!	Obtain Konpaku Gems from ramming into rusty drums 80 times. 
7031	Found You	Find a timid Shadow. 
7032	You Were There?	Find 10 timid Shadows. 
7033	Don't Run!	Find 20 timid Shadows. 
7034	Encounter with a Treasure Demon	Defeat a Treasure Demon in Mementos. 
7035	Treasure Demon Hunter	Defeat 6 Treasure Demons in Mementos. 
7036	Baseball Stadium Lost and Found	Destroy 160 search objects in the first Palace. 
7037	Film Studio Lost and Found	Destroy 270 search objects in the second Palace. 
7038	Grow Big and Tall	Clear the Realm of Repression: Training Materials 5 times on any difficulty. 
7039	Fragments of a Mask	Clear the Realm of Repression: Persona 5 times on any difficulty. 
7040	Card Collector	Clear the Realm of Repression: Revelation Set 5 times on any difficulty. 
7041	Honest Efforts	Clear the Realm of Repression 50 times. 
7042	Not Tired Yet!	Use 500 stamina. 
7043	I Can Keep Going!	Use 1	000 stamina. 
7044	I'm Exhausted...	Use 5	000 stamina. 
7045	Challenger of the Trials	Clear all stages in the Velvet Trials: Technician. 
7046	Burning Flames of the Psyche	Clear all stages in the Velvet Trials: Lair of Arcane Flame. 
7047	Nucleus of Frozen Fusion	Clear all stages in the Velvet Trials: Nuclear Winter. 
7048	Shocking Blessings Be upon You	Clear all stages in the Velvet Trials: Thunderous Blessing. 
7049	Twisted Curses in the Wind	Clear all stages in the Velvet Trials: An Ill Wind. 
7050	Neutron Star of Desire	Collect 15 stars in the Velvet Trials. 
7051	Yellow Dwarf of Desire	Collect 50 stars in the Velvet Trials. 
7052	Supergiant of Desire	Collect 100 stars in the Velvet Trials. 
7053	Constellation of Desire	Collect 200 stars in the Velvet Trials. 
7054	Galaxy of Desire	Collect 300 stars in the Velvet Trials. 
7055	Universe of Desire	Collect 390 stars in the Velvet Trials. 
7056	Seaside of the Soul	Clear stage 1 with any rank in Trials from the Sea of Souls. 
7057	Off the Coast of Souls	Clear stage 2 with any rank in Trials from the Sea of Souls. 
7058	Deep Sea of the Soul	Clear stage 3 with any rank in Trials from the Sea of Souls. 
7059	Stargazing from the Ocean Floor	Obtain 9 stars in Season 1 of Trials from the Sea of Souls. 
7060	Trial Data: Acceptable	Deal 50	000 damage at the Sea of Souls Control Center. 
7061	Trial Data: Satisfactory	Deal 100	000 damage at the Sea of Souls Control Center. 
7062	Trial Data: Excellent	Deal 500	000 damage at the Sea of Souls Control Center. 
7063	Proof of Talent	Rank in the top 30% in Season 1 of Trials from the Sea of Souls. 
8001	Business Partners	Unlock Synergy with Lufel. 
8002	Execute Your Will	Raise Lufel to Synergy Rank 4. 
8003	Your Exclusive Concierge	Unlock Synergy with Merope. 
8004	My "Fave"	Raise Merope to Synergy Rank 5. 
8005	Training Partners	Unlock Synergy with Motoha Arai. 
8006	Personal Coach	Raise Motoha Arai to Synergy Rank 5. 
8007	Part-Time Jobs	Unlock Synergy with Tomoko Noge. 
8008	Part-Time Leader	Raise Tomoko Noge to Synergy Rank 5. 
8009	Charitable Housewife	Unlock Synergy with Kayo Tomiyama. 
8010	Totally Tubular!	Raise Kayo Tomiyama to Synergy Rank 5. 
8011	Energetic Exchange Student	Unlock Synergy with Yaoling Li. 
8012	Sensei!	Raise Yaoling Li to Synergy Rank 5. 
8013	The Value of Desire	Unlock all of Lufel's stories. 
8014	High-Level Coach	Unlock all of Motoha Arai's stories. 
8015	You're an Idol!	Unlock all of Merope's stories. 
8016	A New Me	Unlock all of Tomoko Noge's stories. 
8017	With Love and Time	Unlock all of Kayo Tomiyama's stories. 
8018	Brand-New World	Unlock all of Yaoling Li's stories. 
8019	Lufel's Persistence	Unlock all of Lufel's voice lines. 
8020	Motoha's Resolve	Unlock all of Motoha Arai's voice lines. 
8021	Merope's Devotion	Unlock all of Merope's voice lines. 
8022	Tomoko's Dream	Unlock all of Tomoko Noge's voice lines. 
8023	Tomiyama's Choice	Unlock all of Kayo Tomiyama's voice lines. 
8024	Yaoling's Journey	Unlock all of Yaoling Li 's voice lines. 
8025	A Little Something	Give a gift to an accomplice 1 time. 
8026	A Nice Present	Give a gift to an accomplice 10 times. 
8027	A Thoughtful Gift	Give a gift to an accomplice 50 times. 
8028	A Meaningful Present	Give a gift to an accomplice 100 times. 
8029	A Gift from the Heart	Give a gift to an accomplice 200 times. 
8030	Wait	 Really?	Give Motoha Arai a gift she likes. 
8031	I Really Wanted This	Give Motoha Arai all of her preferred gifts. 
8032	I Appreciate Your Kindness	Give Merope a gift she likes. 
8033	An Exceptional Masterpiece	Give Merope all of her preferred gifts. 
8034	This Is for Me?	Give Tomoko Noge a gift she likes. 
8035	A Present from You	Give Tomoko Noge all of her preferred gifts. 
8036	You're Giving This to Me?	Give Kayo Tomiyama a gift she likes. 
8037	Fits Me to a T	Give Kayo Tomiyama all of her preferred gifts. 
8038	A Unique Souvenir	Give Yaoling Li a gift she likes. 
8039	Sensei Recommends...	Give Yaoling Li all of her preferred gifts. 
8040	The First Bond	Invite an accomplice out 1 time. 
8041	Expanding Bonds	Invite an accomplice out 20 times. 
8042	Deepening Bonds	Invite an accomplice out 100 times. 
8043	Training Demon	Invite Motoha Arai out 5 times. 
8044	Batting Cage Conqueror	Invite Motoha Arai out 20 times. 
8045	Handmade Fans	Invite Merope out 5 times. 
8046	Glimmering Fave	Invite Merope out 20 times. 
8047	Part-Time Coworker	Invite Tomoko Noge out 5 times. 
8048	Our After School Time	Invite Tomoko Noge out 20 times. 
8049	Young Sensibilities	Invite Kayo Tomiyama out 5 times. 
8050	Empathy Beyond Generations	Invite Kayo Tomiyama out 20 times. 
8051	Time in a Foreign Land	Invite Yaoling Li out 5 times. 
8052	Tokyo Stroll	Invite Yaoling Li out 20 times. 
8061	Harvest World Online First-Time Login	Unlock Synergy with Yui. 
8062	Potato Master	Raise Yui to Synergy Rank 5. 
8063	Dimensional Wall	Give Yui a gift she likes. 
8064	Interdimensional Friendship	Give Yui all of her preferred gifts. 
8065	Pro Gamer	Invite Yui out 5 times. 
8066	Wonderful Virtual Days	Invite Yui out 20 times. 
8067	That Far-Off Land	Unlock of of Yui's stories.
8068	Everything I Love	Unlock all of Yui's voice lines. 
9001	Appealing Articles	Obtain a set of new clothes. 
9002	Peak Wardrobe	Obtain 5 sets of new clothes. 
9003	Best Outfits	Change into casualwear at your closet 5 times. 
9004	Star Fashionista	Change into casualwear at your closet 20 times. 
9005	Beginner Tinkerer	Craft an infiltration tool at the workbench. 
9006	Better Safe Than Sorry	Craft 10 infiltration tools at the workbench. 
9007	Thorough Preparedness	Craft 20 infiltration tools at the workbench. 
9008	The Phantom Thief Way	Craft 50 infiltration tools at the workbench. 
9009	A Thief and a Craftsman	Craft 100 infiltration tools at the workbench. 
9010	Hand-Crafted	Craft 10 gifts at the workbench. 
9011	Made with Love	Craft 20 gifts at the workbench. 
9012	Heart of Handicraft	Craft 50 gifts at the workbench. 
9013	Handmade Master	Craft 100 gifts at the workbench. 
9014	You Cooked a Thing!	Cook a dish. 
9015	Cooking Lover	Cook 10 dishes. 
9016	Cooking Maniac	Cook 50 dishes. 
9017	Master Chef	Cook 100 dishes. 
9018	Home Cook	Cook a delicious dish. 
9019	Knife Skills	Cook a delicious dish 10 times. 
9020	High School Sous Chef	Cook a delicious dish 50 times. 
9021	Head Chef	Cook a delicious dish 100 times. 
9022	Standard Recipe	Obtain a cooking recipe. 
9023	Acclaimed Recipe	Obtain 5 cooking recipes. 
9024	Treasured Recipe	Obtain 10 cooking recipes. 
9025	Gardener in Training	Plant flower seeds. 
9026	Garden Creator	Plant flower seeds 10 times. 
9027	Enough for a Meal	Plant vegetable seeds. 
9028	A Week's Worth of Food	Plant vegetable seeds 10 times. 
9029	Grow Big and Tall	Fertilize plants. 
9030	A Green Thumb	Harvest a plant. 
9031	Homestead Farmer	Harvest a plant 20 times. 
9032	A Ray of Sunshine	Harvest a high-quality flower. 
9033	The Freshest of Fresh	Harvest a high-quality ingredient. 
