sn	conditionDes
306862	Receive from official events.
306863	Clear all missions in the Summer! Swimsuits! Sea Time! event.
306864	Receive from official events.
306865	Reach Synergy Rank 20 and become close friends with Miyu.
306866	Reach Synergy Rank 20 and become soulmates with Miyu.
306867	Receive from official events.
306868	Phantom Pass Phase 4 Premium+ reward.
306869	Phantom Pass Phase 5 Premium+ reward.
306870	Reach Synergy Rank 20 and become close friends with Kitazato.
306871	Attain 8★ Class 1 when the Trials from the Sea of Souls ends.
306872	Attain 8★ Class 1 when the Trials from the Sea of Souls ends.
306873	Receive from official events.
306874	Receive from official events.
306875	Receive from official events.
306876	Receive from official events.
306877	Receive from official events.
306878	Phantom Pass Phase 6 collection reward.
306881	Reach Synergy Rank 20 and become close friends with Kotone.
306882	Reach Synergy Rank 20 and become soulmates with Kotone.
306900	Error: tnxotb-[DisplayPicture_conditionDes_306900]
316001	Attain 1★ Class 1 when the Trials from the Sea of Souls ends.
316002	Attain 1★ Class 2 when the Trials from the Sea of Souls ends.
316003	Attain 1★ Class 3 when the Trials from the Sea of Souls ends.
312021	Pre-registration reward.
312023	Receive from official events.
316004	Prove your growing desire by conquering 1★ Class 4 of the Trials from the Sea of Souls.
316005	Attain 1★ Class 5 when the Trials from the Sea of Souls ends.
316006	Attain 2★ Class 1 when the Trials from the Sea of Souls ends.
316007	Attain 2★ Class 2 when the Trials from the Sea of Souls ends.
316008	Attain 2★ Class 3 when the Trials from the Sea of Souls ends.
316009	Prove your growing desire by conquering 2★ Class 4 of the Trials from the Sea of Souls.
316010	Attain 2★ Class 5 when the Trials from the Sea of Souls ends.
316011	Attain 3★ Class 1 when the Trials from the Sea of Souls ends.
316012	Attain 3★ Class 2 when the Trials from the Sea of Souls ends.
316013	Attain 3★ Class 3 when the Trials from the Sea of Souls ends.
316014	Prove your growing desire by conquering 3★ Class 4 of the Trials from the Sea of Souls.
316015	Attain 3★ Class 5 when the Trials from the Sea of Souls ends.
316016	Attain 4★ Class 1 when the Trials from the Sea of Souls ends.
316017	Attain 4★ Class 2 when the Trials from the Sea of Souls ends.
316018	Attain 4★ Class 3 when the Trials from the Sea of Souls ends.
316019	Prove your growing desire by conquering 4★ Class 4 of the Trials from the Sea of Souls.
316020	Attain 4★ Class 5 when the Trials from the Sea of Souls ends.
316021	Attain 5★ Class 1 when the Trials from the Sea of Souls ends.
316022	Attain 5★ Class 2 when the Trials from the Sea of Souls ends.
316023	Attain 5★ Class 3 when the Trials from the Sea of Souls ends.
316024	Attain 5★ Class 4 when the Trials from the Sea of Souls ends.
316025	Attain 5★ Class 5 when the Trials from the Sea of Souls ends.
316026	Attain 6★ Class 1 when the Trials from the Sea of Souls ends.
316027	Attain 6★ Class 2 when the Trials from the Sea of Souls ends.
316028	Attain 6★ Class 3 when the Trials from the Sea of Souls ends.
316029	Prove your growing desire by conquering 6★ Class 4 of the Trials from the Sea of Souls.
316030	Attain 6★ Class 5 when the Trials from the Sea of Souls ends.
316031	Attain 7★ Class 1 when the Trials from the Sea of Souls ends.
316032	Attain 7★ Class 2 when the Trials from the Sea of Souls ends.
316033	Attain 7★ Class 3 when the Trials from the Sea of Souls ends.
316034	Prove your growing desire by conquering 7★ Class 4 of the Trials from the Sea of Souls.
316035	Attain 7★ Class 5 when the Trials from the Sea of Souls ends.
316036	Attain 8★ Class 1 when the Trials from the Sea of Souls ends.
316037	Attain 8★ Class 2 when the Trials from the Sea of Souls ends.
316038	Attain 8★ Class 3 when the Trials from the Sea of Souls ends.
316039	Prove your growing desire by conquering 8★ Class 4 of the Trials from the Sea of Souls.
316040	Attain 8★ Class 5 when the Trials from the Sea of Souls ends.
316041	Awarded for getting Companio rank 1-10 in Nightmare's Gateway.
316042	Awarded for attempting Nightmare's Gateway and your Compano ranking #11 - #50.
316043	Achieve Companio rank 51-100 in Nightmare's Gateway.
316044	Awarded for attempting Nightmare's Gateway and your Compano ranking #101 - #200.
316045	Achieve Companio rank 200 or lower in Nightmare's Gateway.
306901	Default profile card design.
306904	Reach Synergy Rank 17 with Merope.
306905	Reach Synergy Rank 17 with Motoha.
306906	Reach Synergy Rank 17 with Lufel.
306907	Reward for participating in beta testing.
306908	Reach Synergy Rank 17 with Kurotani.
306909	Reach Synergy Rank 17 with Tomoko.
306910	Reach Synergy Rank 17 with Yui.
306911	Reach level 10 with the soccer team.
306912	Reach level 10 in band club.
306913	Reach level 9 in band club.
306914	Reach Synergy Rank 17 with Tomiyama.
306915	Reach Synergy Rank 17 with Shun.
306916	Reach Synergy Rank 17 with Yaoling.
306917	Awarded for reaching band club level 9.
306918	Receive from official events.
306919	Receive from official events.
306920	Receive from official events.
306921	Receive from official events.
306922	Receive from official events
306923	Receive from official events.
306924	Awarded for clearing the Museum and Bank Arcs in Crossroads of Fate.
306925	Receive from official events.
306926	Receive from official events.
306927	Receive from official events.
306928	Phantom Pass Pt. 2 Premium+ reward
306929	Phantom Pass Phase 3 Premium+ reward.
306930	Receive from official events.
306931	Clear all stages in the Museum and Bank Arcs in Crossroads of Fate.
306932	Reach Synergy Rank 17 with Ayaka.
306933	Reach Synergy Rank 17 with Yumi.
306934	Receive from official events.
306935	Receive from official events.
306936	Clear all missions in the Summer! Swimsuits! Sea Time! event.
306937	Receive from official events.
306938	Reach Synergy Rank 17 with Miyu.
306939	Receive from official events.
306940	Phantom Pass Phase 4 Premium+ reward.
306941	Phantom Pass Phase 5 Premium+ reward
306942	Reach Synergy Rank 17 with Kitazato.
306943	Reach Synergy Rank 17 with Ashiya.
306944	Receive from official events.
306945	Receive from official events.
306946	Receive from official events.
306947	Receive from official events.
306948	Receive from official events.
306949	Phantom Pass Phase 6 collection reward
306952	Reach Synergy Rank 17 with Kotone.
307001	Default badge.
307003	Catch Log reward.
307004	Exchange from the batting cages.
307005	Reward for participating in beta testing.
306977	A special profile card design awarded for pre-registering.
307006	Attain 1★ Class 1 when the Trials from the Sea of Souls ends.
307007	Attain 1★ Class 2 when the Trials from the Sea of Souls ends.
307008	Attain 1★ Class 3 when the Trials from the Sea of Souls ends.
307009	Attain 1★ Class 4 when the Trials from the Sea of Souls ends.
307010	Attain 1★ Class 5 when the Trials from the Sea of Souls ends.
307011	Attain 2★ Class 1 when the Trials from the Sea of Souls ends.
307012	Attain 2★ Class 2 when the Trials from the Sea of Souls ends.
307013	Attain 2★ Class 3 when the Trials from the Sea of Souls ends.
307014	Attain 2★ Class 4 when the Trials from the Sea of Souls ends.
307015	Attain 2★ Class 5 when the Trials from the Sea of Souls ends.
314001	Attain 3★ Class 1 when the Trials from the Sea of Souls ends.
314002	Attain 3★ Class 2 when the Trials from the Sea of Souls ends.
314003	Attain 3★ Class 3 when the Trials from the Sea of Souls ends.
314004	Attain 3★ Class 4 when the Trials from the Sea of Souls ends.
314005	Attain 3★ Class 5 when the Trials from the Sea of Souls ends.
314006	Attain 4★ Class 1 when the Trials from the Sea of Souls ends.
314007	Attain 4★ Class 2 when the Trials from the Sea of Souls ends.
314008	Attain 4★ Class 3 when the Trials from the Sea of Souls ends.
314009	Attain 4★ Class 4 when the Trials from the Sea of Souls ends.
314010	Attain 4★ Class 5 when the Trials from the Sea of Souls ends.
314011	Attain 5★ Class 1 when the Trials from the Sea of Souls ends.
314012	Attain 5★ Class 2 when the Trials from the Sea of Souls ends.
314013	Attain 5★ Class 3 when the Trials from the Sea of Souls ends.
314014	Attain 5★ Class 4 when the Trials from the Sea of Souls ends.
314015	Attain 5★ Class 5 when the Trials from the Sea of Souls ends.
314016	Attain 6★ Class 1 when the Trials from the Sea of Souls ends.
314017	Attain 6★ Class 2 when the Trials from the Sea of Souls ends.
314018	Attain 6★ Class 3 when the Trials from the Sea of Souls ends.
314019	Attain 6★ Class 4 when the Trials from the Sea of Souls ends.
314020	Attain 6★ Class 5 when the Trials from the Sea of Souls ends.
314021	Attain 7★ Class 1 when the Trials from the Sea of Souls ends.
314022	Attain 7★ Class 2 when the Trials from the Sea of Souls ends.
314023	Attain 7★ Class 3 when the Trials from the Sea of Souls ends.
314024	Attain 7★ Class 4 when the Trials from the Sea of Souls ends.
314025	Attain 7★ Class 5 when the Trials from the Sea of Souls ends.
314028	Attain 8★ Class 1 when the Trials from the Sea of Souls ends.
314029	Attain 8★ Class 2 when the Trials from the Sea of Souls ends.
314030	Attain 8★ Class 3 when the Trials from the Sea of Souls ends.
314031	Attain 8★ Class 4 when the Trials from the Sea of Souls ends.
314032	Attain 8★ Class 5 when the Trials from the Sea of Souls ends.
314999	Error: tnxotb-[DisplayPicture_conditionDes_314999]
307021	Awarded for filling up your collections to  Sightseer level.
307022	Awarded for filling up your collections to Explorer level.
307023	Awarded for filling up your collections to Wayfarer level.
307024	Awarded for filling up your collections to Trailblazer level.
307025	Awarded for filling up your collections to Globetrotter level.
307026	Reach level 10 with the soccer team.
307027	Reach level 10 in band club.
307028	Clear Metro of Desire on difficulty 3 with your regular party.
307029	Clear the Desire Line in Metro of Desire on difficulty 5.
307030	Clear the Desire Line in Metro of Desire on difficulty 6.
307031	Clear the Hope Line in Metro of Desire on difficulty 6.
307032	Clear the Hope Line in Metro of Desire on difficulty 7.
307033	Clear the Hope Line in Metro of Desire on difficulty 8.
307034	Clear the Desire Line in Metro of Desire on difficulty 6.
307035	Clear the Desire Line in Metro of Desire on difficulty 7.
307036	Clear the Desire Line in Metro of Desire on difficulty 8.
307037	Clear the Wish Line in Metro of Desire on difficulty 6.
307038	Clear the Wish Line in Metro of Desire on difficulty 7.
307039	Clear the Wish Line in Metro of Desire on difficulty 8.
307040	Achieve Companio rank 1-10 in Nightmare's Gateway.
307041	Achieve Companio rank 11-50 in Nightmare's Gateway.
307042	Awarded for attempting Nightmare's Gateway and your Compano ranking #51 - #100.
307069	Achieve Companio rank 101-200 in Nightmare's Gateway.
307070	Achieve Companio rank 200 or lower in Nightmare's Gateway.
307043	Achieve Rank 1 in the Story award.
307044	Achieve Rank 2 in the Story award.
307045	Achieve Rank 3 in the Story award.
307046	Achieve Rank 1 in the Battle award.
307047	Achieve Rank 2 in the Battle award.
307048	Achieve Rank 3 in the Battle award.
307049	Achieve Rank 1 in the Train/Enhance award.
307050	Achieve Rank 2 in the Train/Enhance award.
307051	Achieve Rank 3 in the Train/Enhance award.
307052	Achieve Rank 1 in the Persona award.
307053	Achieve Rank 2 in the Persona award.
307054	Achieve Rank 3 in the Persona award.
307055	Achieve Rank 1 in the City Life award.
307056	Achieve Rank 2 in the City Life award.
307057	Achieve Rank 3 in the City Life award.
307058	Achieve Rank 1 in the Metaverse award.
307059	Achieve Rank 2 in the Metaverse award.
307060	Achieve Rank 3 in the Metaverse award.
307061	Achieve Rank 1 in the Synergy award.
307062	Achieve Rank 2 in the Synergy award.
307063	Achieve Rank 3 in the Synergy award.
307064	Achieve Rank 1 in the Home award.
307065	Achieve Rank 2 in the Home award.
307066	Achieve Rank 3 in the Home award.
307067	Destroy 160 search objects in the first Palace. 
307068	Destroy 270 search objects in the second Palace. 
307071	Raise Joker's Awareness Level to 6.
307072	Raise Mona's Awareness Level to 6.
307073	Raise Skull's Awareness Level to 6.
307074	Raise Panther's Awareness Level to 6.
307075	Raise Riddle's Awareness Level to 6.
307076	Raise Rin's Awareness Level to 6.
307077	Raise Bui's Awareness Level to 6.
307080	Raise Marian's Awareness Level to 6.
307081	Raise Fox's Awareness Level to 6.
307082	Raise Queen's Awareness Level to 6.
307083	Raise Phoebe's Awareness Level to 6.
307084	Raise Chord's Awareness Level to 6.
307085	Raise Summer Motoha Arai's Awareness Level to 6.
307086	Raise Summer Tomoko Noge's Awareness Level to 6.
307087	Raise Messa's Awareness Level to 6.
307088	Destroy all search objects in the dam.
307078	Brawl Bots event reward.
307090	Raise Cherish's Awareness Level to 6.
307091	Raise Noir's Awareness Level to 6.
307092	Raise Mont's Awareness Level to 6.
307089	Raise Oracle's Awareness Level to 6.
307079	Achieve 100% exploration progress in Crossroads of Fate: Castle Arc.
314026	Achieve 100% exploration progress in Crossroads of Fate: Bank Arc.
314027	Achieve 100% exploration progress in Crossroads of Fate: Museum Arc.
314100	Play Unconditional Love Phase 1 in Chapter 3 of the Main Story.
314101	Play Summer! Swimsuits! Sea Time!
314102	Awarded for playing the Shooting Challenge in Summer! Swimsuits! Sea Time!
314103	Play the Shooting Challenge in Summer! Swimsuits! Sea Time!
314104	Play the Shooting Challenge in Summer! Swimsuits! Sea Time!
314105	Complete the challenge goal for the Trial of Thorns.
314106	Complete the challenge goal for the Trial of Thorns.
314107	Awarded for completing the challenge goal for the Trial of Thorns.
314108	Complete the challenge goal for the Trial of Thorns.
314109	Complete the challenge goal for the Trial of Thorns.
314110	Complete the challenge goal for the Trial of Thorns.
314111	Complete the challenge goal for the Trial of Thorns.
314112	Complete the challenge goal for the Trial of Thorns.
314113	Play Unconditional Love Phase 2 in Chapter 3 of the Main Story.
314114	Participate in the new season of Nightmare's Gateway.
314115	Rank within the top 21-50% in the new season of Nightmare's Gateway.
314116	Rank within the top 6-20% in the new season of Nightmare's Gateway.
314117	Rank within the top 5% in the new season of Nightmare's Gateway.
314118	Participate during the fixed time period in the new season of Nightmare's Gateway.
314119	Rank within the top 21-50% in the new season of Nightmare's Gateway.
314121	Rank within the top 5% in the new season of Nightmare's Gateway.
314141	Clear the Beginner Stage of Mont's Special Mission in Thief Tryout.
314142	Clear the Intermediate Stage of Mont's Special Mission in Thief Tryout.
314143	Clear the Advanced Stage of Mont's Special Mission in Thief Tryout.
314122	Clear the Beginner Stage of Messa's Special Mission in Thief Tryout.
314120	Rank within the top 6-20% in the new season of Nightmare's Gateway.
314201	Attain 1★ Class 1 when the Trials from the Sea of Souls ends.
314123	Clear the Intermediate Stage of Messa's Special Mission in Thief Tryout.
314124	Clear the Advanced Stage of Messa's Special Mission in Thief Tryout.
314125	Achieve 100% exploration progress in Crossroads of Fate: Pyramid Arc.
314126	Clear Sinner of Wrath in Crossroads of Fate: Pyramid Arc on difficulty 10.
314127	Clear Sinner of Wrath in Crossroads of Fate: Pyramid Arc on difficulty 20.
314128	Clear Sinner of Wrath in Crossroads of Fate: Pyramid Arc on difficulty 25.
314129	Clear Sinner of Wrath in Crossroads of Fate: Pyramid Arc on difficulty 30.
314131	Clear the Beginner Stage of Cherish's Special Mission in Thief Tryout.
314132	Clear the Intermediate Stage of Cherish's Special Mission in Thief Tryout.
314133	Clear the Advanced Stage of Cherish's Special Mission in Thief Tryout.
314140	Play the Wish Line in Metro of Desire.
314134	Achieve 100% exploration progress in Crossroads of Fate: Spaceport Arc.
314135	Clear Sinner of Avarice in Crossroads of Fate: Spaceport Arc on difficulty 10.
314136	Clear Sinner of Avarice in Crossroads of Fate: Spaceport Arc on difficulty 20.
314137	Clear Sinner of Avarice in Crossroads of Fate: Spaceport Arc on difficulty 25.
314138	Clear Sinner of Avarice in Crossroads of Fate: Spaceport Arc on difficulty 30.
314139	Play Tycoon.
314130	Half Anniversary badge.
314202	Attain 1★ Class 2 when the Trials from the Sea of Souls ends.
314203	Attain 1★ Class 3 when the Trials from the Sea of Souls ends.
314147	Play Unconditional Love Phase 3 in Chapter 3 of the Main Story.
314148	Participate during the fixed time period in the new season of Nightmare's Gateway.
314149	Rank within the top 21-50% in the new season of Nightmare's Gateway.
314150	Rank within the top 6-20% in the new season of Nightmare's Gateway.
314151	Rank within the top 5% in the new season of Nightmare's Gateway.
314204	Awarded for holding 1★ Class 4 when the Trials from the Sea of Souls ends.
314205	Attain 1★ Class 5 when the Trials from the Sea of Souls ends.
314206	Attain 2★ Class 1 when the Trials from the Sea of Souls ends.
314207	Attain 2★ Class 2 when the Trials from the Sea of Souls ends.
314208	Attain 2★ Class 3 when the Trials from the Sea of Souls ends.
314209	Attain 2★ Class 4 when the Trials from the Sea of Souls ends.
314210	Attain 2★ Class 5 when the Trials from the Sea of Souls ends.
314211	Attain 3★ Class 1 when the Trials from the Sea of Souls ends.
314212	Attain 3★ Class 2 when the Trials from the Sea of Souls ends.
314213	Attain 3★ Class 3 when the Trials from the Sea of Souls ends.
314214	Attain 3★ Class 4 when the Trials from the Sea of Souls ends.
314215	Attain 3★ Class 5 when the Trials from the Sea of Souls ends.
314216	Attain 4★ Class 1 when the Trials from the Sea of Souls ends.
314217	Attain 4★ Class 2 when the Trials from the Sea of Souls ends.
314218	Attain 4★ Class 3 when the Trials from the Sea of Souls ends.
314219	Attain 4★ Class 4 when the Trials from the Sea of Souls ends.
314220	Attain 4★ Class 5 when the Trials from the Sea of Souls ends.
314221	Attain 5★ Class 1 when the Trials from the Sea of Souls ends.
314222	Attain 5★ Class 2 when the Trials from the Sea of Souls ends.
314223	Attain 5★ Class 3 when the Trials from the Sea of Souls ends.
314224	Attain 5★ Class 4 when the Trials from the Sea of Souls ends.
314225	Attain 5★ Class 5 when the Trials from the Sea of Souls ends.
314226	Attain 6★ Class 1 when the Trials from the Sea of Souls ends.
314227	Attain 6★ Class 2 when the Trials from the Sea of Souls ends.
314228	Attain 6★ Class 3 when the Trials from the Sea of Souls ends.
314229	Awarded for holding 6★ Class 4 when the Trials from the Sea of Souls ends.
314230	Attain 6★ Class 5 when the Trials from the Sea of Souls ends.
314231	Attain 7★ Class 1 when the Trials from the Sea of Souls ends.
314232	Attain 7★ Class 2 when the Trials from the Sea of Souls ends.
314233	Attain 7★ Class 3 when the Trials from the Sea of Souls ends.
314234	Attain 7★ Class 4 when the Trials from the Sea of Souls ends.
314235	Attain 7★ Class 5 when the Trials from the Sea of Souls ends.
314236	Attain 8★ Class 1 when the Trials from the Sea of Souls ends.
314237	Attain 8★ Class 2 when the Trials from the Sea of Souls ends.
314238	Attain 8★ Class 3 when the Trials from the Sea of Souls ends.
314239	Attain 8★ Class 4 when the Trials from the Sea of Souls ends.
314240	Attain 8★ Class 5 when the Trials from the Sea of Souls ends.
314301	Attain Beggar in Tycoon.
314302	Attain Staunchly Poor in Tycoon.
314303	Attain Quite Poor in Tycoon.
314304	Attain Ordinarily Poor in Tycoon.
314305	Attain Somewhat Poor in Tycoon.
314306	Attain Barely Poor in Tycoon.
314307	Attain Ordinarily Common in Tycoon.
314308	Attain Somewhat Common in Tycoon.
314309	Attain Richly Common in Tycoon.
314310	Attain Gorgeously Common in Tycoon.
314311	Attain Ordinarily Rich in Tycoon.
314312	Attain Millionaire in Tycoon.
314313	Attain Multimillionaire in Tycoon.
314314	Attain Billionaire in Tycoon.
314315	Attain Legendary Tycoon in Tycoon.
314401	Awarded for passing 3 monitoring points in Trial of the Astrolabe Pt. 1.
314402	Awarded for passing at least 1 monitoring point and Palace Star in Trial of the Astrolabe Pt. 1.
314403	Awarded for passing 1 monitoring point and Life Star in Trial of the Astrolabe Pt. 1.
314404	Pass all monitoring points in Trial of the Astrolabe Phase 1.
550001	Attain 1★ Class 1 when the Trials from the Sea of Souls ends.
550002	Attain 1★ Class 2 when the Trials from the Sea of Souls ends.
550003	Attain 1★ Class 3 when the Trials from the Sea of Souls ends.
550004	Attain 1★ Class 4 when the Trials from the Sea of Souls ends.
550005	Attain 1★ Class 5 when the Trials from the Sea of Souls ends.
550006	Attain 2★ Class 1 when the Trials from the Sea of Souls ends.
550007	Attain 2★ Class 2 when the Trials from the Sea of Souls ends.
550008	Attain 2★ Class 3 when the Trials from the Sea of Souls ends.
550009	Attain 2★ Class 4 when the Trials from the Sea of Souls ends.
550010	Attain 2★ Class 5 when the Trials from the Sea of Souls ends.
550011	Attain 3★ Class 1 when the Trials from the Sea of Souls ends.
550012	Attain 3★ Class 2 when the Trials from the Sea of Souls ends.
550013	Attain 3★ Class 3 when the Trials from the Sea of Souls ends.
550014	Attain 3★ Class 4 when the Trials from the Sea of Souls ends.
550015	Attain 3★ Class 5 when the Trials from the Sea of Souls ends.
550016	Attain 4★ Class 1 when the Trials from the Sea of Souls ends.
550017	Attain 4★ Class 2 when the Trials from the Sea of Souls ends.
550018	Attain 4★ Class 3 when the Trials from the Sea of Souls ends.
550019	Attain 4★ Class 4 when the Trials from the Sea of Souls ends.
550020	Attain 4★ Class 5 when the Trials from the Sea of Souls ends.
550021	Attain 5★ Class 1 when the Trials from the Sea of Souls ends.
550022	Attain 5★ Class 2 when the Trials from the Sea of Souls ends.
550023	Attain 5★ Class 3 when the Trials from the Sea of Souls ends.
550024	Attain 5★ Class 4 when the Trials from the Sea of Souls ends.
550025	Attain 5★ Class 5 when the Trials from the Sea of Souls ends.
550026	Attain 6★ Class 1 when the Trials from the Sea of Souls ends.
550027	Attain 6★ Class 2 when the Trials from the Sea of Souls ends.
550028	Attain 6★ Class 3 when the Trials from the Sea of Souls ends.
550029	Attain 6★ Class 4 when the Trials from the Sea of Souls ends.
550030	Attain 6★ Class 5 when the Trials from the Sea of Souls ends.
