sn	name	picDescribe
3006	Silent Pistol	An exclusive 5★ weapon for Yumi Shiina is now available! Press [Info] for more details.
3007	Silent Pistol	An exclusive 5★ weapon for Ayaka Sakai is now available! Press [Info] for more details.
3008	Silent Pistol	An exclusive 5★ weapon for Ren Amamiya is now available! Press [Info] for more details.
3009	Silent Pistol	An exclusive 5★ weapon for Motoha Arai is now available! Press [Info] for more details.
3010	Silent Pistol	An exclusive 5★ weapon for Ren Amamiya is now available! Press [Info] for more details.
3011	Silent Pistol	An exclusive 5★ weapon for Tomoko Noge is now available! Press [Info] for more details.
3012	Silent Pistol	An exclusive 5★ weapon for Ren Amamiya is now available! Press [Info] for more details.
3013	Silent Pistol	An exclusive 5★ weapon for Minami Miyashita is now available! Press [Info] for more details.
3014	Silent Pistol	An exclusive 5★ weapon for Yui is now available! Press [Info] for more details.
3015	Silent Pistol	An exclusive 5★ weapon for Kira Kitazato is now available! Press [Info] for more details.
3016	Silent Pistol	An exclusive 5★ weapon for Yui is now available! Press [Info] for more details.
3017	Silent Pistol	An exclusive 5★ weapon for Futaba Sakura is now available! Press [Info] for more details.
3018	Silent Pistol	An exclusive 5★ weapon for Yui is now available! Press [Info] for more details.
3019	Silent Pistol	An exclusive 5★ weapon for Masaki Ashiya is now available! Press [Info] for more details.
3020	Silent Pistol	An exclusive 5★ weapon for Yusuke Kitagawa is now available! Press [Info] for more details.
3021	Silent Pistol	An exclusive 5★ weapon for Haru Okumura is now available! Press [Info] for more details.
3022	Silent Pistol	An exclusive 5★ weapon for Yusuke Kitagawa is now available! Press [Info] for more details.
3023	Silent Pistol	An exclusive 5★ weapon for Yumi Shiina is now available! Press [Info] for more details.
3024	Silent Pistol	An exclusive 5★ weapon for Yusuke Kitagawa is now available! Press [Info] for more details.
3025	Silent Pistol	An exclusive 5★ weapon for Kotone Montagne is now available! Press [Info] for more details.
3026	Silent Pistol	An exclusive 5★ weapon is now available! Press [Info] for more details.
8801	Tutorial Contract	In this gacha	 the 4★ Phantom Thief Kotone Montagne is guaranteed.
8802	Tutorial Arms Deals	In this gacha	 the 4★ weapon Crime and Punishment is guaranteed.
